row_label_raw,row_label_full,Số cuối năm > %sở hữu,Số cuối năm > Giá trị(VND),Số đầu năm > %sở hữu,Số đầu năm > Giá trị(VND),Địa điểm,numeric__Số cuối năm > Giá trị(VND),numeric__Số đầu năm > %sở hữu,numeric__Số đầu năm > Giá trị(VND),numeric__Địa điểm
30,30,30,297.743.316.779,30,263.999.973.567,Hồ Chí Minh,297743316779.0,30.0,263999973567.0,
22,22,22,297.268.121.703,22,298.281.440.378,Hồ Chí Minh,297268121703.0,22.0,298281440378.0,
32,32,32,140.520.888.952,32,130.740.638.200,Đắk Lắk,140520888952.0,32.0,130740638200.0,
30,30,30,135.587.617.270,30,85.429.336.328,Hồ Chí Minh,135587617270.0,30.0,85429336328.0,
30,30,30,123.605.999.939,30,118.387.784.158,Hà Nam,123605999939.0,30.0,118387784158.0,
35,35,35,114.547.277.713,35,112.094.157.119,Hồ Chí Minh,114547277713.0,35.0,112094157119.0,
31,31,31,92.727.830.044,31,88.164.541.947,Cần Thơ,92727830044.0,31.0,88164541947.0,
31,31,31,74.457.738.231,27,76.280.315.657,Phú Thọ,74457738231.0,27.0,76280315657.0,
29,29,29,69.918.088.079,29,69.918.088.079,Hồ Chí Minh,69918088079.0,29.0,69918088079.0,
35,35,35,51.436.277.377,35,43.612.994.183,Hồ Chí Minh,51436277377.0,35.0,43612994183.0,
20,20,20,42.519.174.538,20,45.877.839.367,Vĩnh Long,42519174538.0,20.0,45877839367.0,
20,20,20,41.354.195.103,20,36.456.263.601,Ninh Thuận,41354195103.0,20.0,36456263601.0,
10,10,10,39.205.674.673,10,40.198.013.024,Bạc Liêu,39205674673.0,10.0,40198013024.0,
