row_label_raw,row_label_full,col_0,Vốn cổ phần,Vốn khác thuộc vốn chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư và phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Vốn khác thuộc vốn chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư và phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,,,,,,,
Số đầu năm (đã được trình bày trước đây),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Số đầu năm (đã được trình bày trước đây),Số đầu năm (đã được trình bày trước đây),6.412.811.860.000,3.208.666.226,(32.550.000.000),7.596.949.634,1.066.404.283.731,4.901.500.279,4.741.509.148.405,12.203.882.408.275,6412811860000.0,3208666226.0,-32550000000.0,7596949634.0,1066404283731.0,4901500279.0,4741509148405.0,12203882408275.0
Trình bày lại – Thuyết minh số 39,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Trình bày lại – Thuyết minh số 39,Trình bày lại – Thuyết minh số 39,-,-,-,-,-,-,(2.513.156.245.915),(2.513.156.245.915),,,,,,,-2513156245915.0,-2513156245915.0
Số đầu năm (được trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Số đầu năm (được trình bày lại),Số đầu năm (được trình bày lại),6.412.811.860.000,3.208.666.226,(32.550.000.000),7.596.949.634,1.066.404.283.731,4.901.500.279,2.228.352.902.490,9.690.726.162.360,6412811860000.0,3208666226.0,-32550000000.0,7596949634.0,1066404283731.0,4901500279.0,2228352902490.0,9690726162360.0
Lợi nhuận thuần trong năm (được trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận thuần trong năm (được trình bày lại),Lợi nhuận thuần trong năm (được trình bày lại),-,-,-,-,-,-,3.316.740.491.579,3.316.740.491.579,,,,,,,3316740491579.0,3316740491579.0
Cổ tức công bố,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,-,(1.603.205.465.000),(1.603.205.465.000),,,,,,,-1603205465000.0,-1603205465000.0
Trích lập quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Trích lập quỹ,Trích lập quỹ,-,-,-,-,33.244.011.572,1.207.034.348,(34.451.045.920),-,,,,,33244011572.0,1207034348.0,-34451045920.0,
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(285.474.301.704),(285.474.301.704),,,,,,,-285474301704.0,-285474301704.0
Sử dụng quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,-,-,(32.011.514.308),(32.011.514.308),,,,,,,-32011514308.0,-32011514308.0
Chênh lệch tỷ giả,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Chênh lệch tỷ giả,Chênh lệch tỷ giả,-,-,-,6.642.733.546,-,-,-,6.642.733.546,,,,6642733546.0,,,,6642733546.0
Tăng (giảm) khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Tăng (giảm) khác,Tăng (giảm) khác,-,-,7.000.000.000,-,354.829.948,-,(6.703.160.918),651.669.030,,,7000000000.0,,354829948.0,,-6703160918.0,651669030.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Số cuối năm,Số cuối năm,6.412.811.860.000,3.208.666.226,(25.550.000.000),14.239.683.180,1.100.003.125.251,6.108.534.627,3.583.247.906.219,11.094.069.775.503,6412811860000.0,3208666226.0,-25550000000.0,14239683180.0,1100003125251.0,6108534627.0,3583247906219.0,11094069775503.0
