row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),VND Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__VND Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6)
Công ty Cổ phần Bia Nước giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia Nước giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia Nước giải khát Sài Gòn - Tây Đô,Công ty liên kết,"Bán vật tư, bao bì",119.517.097.392,116.462.134.555,,,119517097392.0,116462134555.0
Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty liên kết,"Bán vật tư, bao bì",59.678.523.859,86.058.826.137,,,59678523859.0,86058826137.0
Công ty Cổ phần Bia Sài Gòn Phù Lý,Công ty Cổ phần Bia Sài Gòn Phù Lý,Công ty Cổ phần Bia Sài Gòn Phù Lý,Công ty liên kết,"Bán vật tư, bao bì",41.023.814.802,48.292.173.492,,,41023814802.0,48292173492.0
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty liên kết,"Bán vật tư, bao bì",36.840.775.892,45.347.678.475,,,36840775892.0,45347678475.0
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty liên kết,"Bán vật tư, bao bì",36.297.384.678,38.109.306.166,,,36297384678.0,38109306166.0
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty liên kết,"Bán vật tư, bao bì",33.177.905.304,36.099.328.735,,,33177905304.0,36099328735.0
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty liên kết,"Bán vật tư, bao bì",28.820.242.068,37.369.545.064,,,28820242068.0,37369545064.0
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty liên kết,"Bán vật tư, bao bì",28.318.206.689,-,,,28318206689.0,
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty liên kết,"Bán vật tư, bao bì",12.733.083.100,24.952.788.635,,,12733083100.0,24952788635.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty liên kết,"Bán vật tư, bao bì",7.283.525.880,34.186.509.528,,,7283525880.0,34186509528.0
Công ty TNHH Sản xuất Rượu Cần Việt Nam,Công ty TNHH Sản xuất Rượu Cần Việt Nam,Công ty TNHH Sản xuất Rượu Cần Việt Nam,Công ty liên kết,"Bán vật tư, bao bì",1.855.700.000,-,,,1855700000.0,
Công ty TNHH Bao Bì Samiguel Phú Thọ,Công ty TNHH Bao Bì Samiguel Phú Thọ,Công ty TNHH Bao Bì Samiguel Phú Thọ,Công ty liên kết,"Bán vật tư, bao bì",107.008.000,-,,,107008000.0,
Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Bên liên quan,"Bán vật tư, bao bì",27.806.341,-,,,27806341.0,
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,"Bán vật tư, bao bì",1.815.000,1.104.254.688,,,1815000.0,1104254688.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,405.682.889.005,467.982.545.475,,,405682889005.0,467982545475.0
