row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18)
Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Bên liên quan,Mua hàng,299.088.828.871,-,,,299088828871.0,
Công ty TNHH Crown Sài Gòn,Công ty TNHH Crown Sài Gòn,Công ty TNHH Crown Sài Gòn,Công ty liên doanh,Mua bao bì,236.759.057.331,136.093.910.040,,,236759057331.0,136093910040.0
Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty liên kết,Mua hàng,134.379.078.637,78.559.726.642,,,134379078637.0,78559726642.0
Công ty Cổ phần Bia Nước giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia Nước giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia Nước giải khát Sài Gòn - Tây Đô,Công ty liên kết,Mua hàng,109.676.927.840,120.703.290.635,,,109676927840.0,120703290635.0
Công ty Cổ phần Bia Sài Gòn - Phù Lý,Công ty Cổ phần Bia Sài Gòn - Phù Lý,Công ty Cổ phần Bia Sài Gòn - Phù Lý,Công ty liên kết,Mua hàng,45.929.503.334,38.097.378.660,,,45929503334.0,38097378660.0
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty liên kết,Mua hàng,36.631.119.635,41.568.338.350,,,36631119635.0,41568338350.0
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty liên kết,Mua hàng,25.921.757.290,24.178.669.900,,,25921757290.0,24178669900.0
Công ty TNHH Thủy Tinh Malaya Việt Nam,Công ty TNHH Thủy Tinh Malaya Việt Nam,Công ty TNHH Thủy Tinh Malaya Việt Nam,Công ty liên doanh,Mua bao bì,23.422.863.420,8.280.144.180,,,23422863420.0,8280144180.0
Công ty Cổ phần Bia Sài Gòn Khánh Hòa,Công ty Cổ phần Bia Sài Gòn Khánh Hòa,Công ty Cổ phần Bia Sài Gòn Khánh Hòa,Công ty liên kết,Mua hàng,22.027.600.100,-,,,22027600100.0,
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty liên kết,Mua hàng,19.889.645.500,14.106.620.000,,,19889645500.0,14106620000.0
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty liên kết,Mua bao bì,16.276.994.800,36.178.496.221,,,16276994800.0,36178496221.0
Công ty TNHH Bao bì Samiguel Phú Thọ,Công ty TNHH Bao bì Samiguel Phú Thọ,Công ty TNHH Bao bì Samiguel Phú Thọ,Công ty liên doanh,Mua hàng,15.290.440.000,14.831.850.000,,,15290440000.0,14831850000.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty liên kết,Mua hàng,10.899.273.770,20.050.858.680,,,10899273770.0,20050858680.0
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty liên kết,Mua hàng,10.055.674.640,25.753.293.940,,,10055674640.0,25753293940.0
Công ty Cổ phần lương thực - Thực phẩm SABECO,Công ty Cổ phần lương thực - Thực phẩm SABECO,Công ty Cổ phần lương thực - Thực phẩm SABECO,Công ty liên kết,Mua hàng,769.765.500,-,,,769765500.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.007.018.530.668,558.402.577.248,,,1007018530668.0,558402577248.0
