row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(dã được trình bày lại– Thuyết minh số 39),numeric__Số cuối năm,numeric__VND > Số đầu năm(dã được trình bày lại– Thuyết minh số 39)
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,145.580.119.137,324.492.757.769,145580119137.0,324492757769.0
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",389.219.518.589,386.599.730.345,389219518589.0,386599730345.0
"Công cụ, dung cụ","Công cụ, dung cụ","Công cụ, dung cụ",105.780.575.256,52.704.100.832,105780575256.0,52704100832.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,193.437.246.471,212.091.731.577,193437246471.0,212091731577.0
Thành phẩm,Thành phẩm,Thành phẩm,1.320.913.738.470,957.396.888.892,1320913738470.0,957396888892.0
Hàng hóa,Hàng hóa,Hàng hóa,16.059.997.992,27.186.715.492,16059997992.0,27186715492.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,54.073.339,54.073.339,54073339.0,54073339.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.171.045.269.254,1.960.525.998.246,2171045269254.0,1960525998246.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(44.827.866.537),(38.120.935.371),-44827866537.0,-38120935371.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.126.217.402.717,1.922.405.062.875,2126217402717.0,1922405062875.0
