row_label_raw,row_label_full,Bên liên quan > Tiền và tương đương tiền (Thuyết minh số 4),Nội dung nghiệp vụ,Số cuối năm VND > 35.275.665.728,Số đầu năm VND > 75.434.254.149,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 35.275.665.728,numeric__Số đầu năm VND > 75.434.254.149
Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Tiền và tương đương tiền,35.275.665.728,75.434.254.149,,35275665728.0,75434254149.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Trả trước cho người bán ngắn hạn (Thuyết minh số 6),,-,213.229.466,,,213229466.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Trả trước chi phí thi công dự án,-,213.229.466,,,213229466.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),,5.000.000.000,5.000.000.000,,5000000000.0,5000000000.0
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Phải thu về cho vay ngắn hạn,5.000.000.000,5.000.000.000,,5000000000.0,5000000000.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,450.000.000.000,450.000.000.000,,450000000000.0,450000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Phải thu đặt cọc chuyển nhượng cổ phần,450.000.000.000,450.000.000.000,,450000000000.0,450000000000.0
Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),,221.246.443,82.082.408.675,,221246443.0,82082408675.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,221.246.443,60.884.999,,221246443.0,60884999.0
Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản S-Homes,Phải trả chi phí thi công xây dựng và phí quản lý dự án,-,52.151.606.476,,,52151606476.0
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,-,29.869.917.200,,,29869917200.0
Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),,-,5.000.000.000,,,5000000000.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Phải trả từ Hợp đồng bù trừ công nợ ba bên,-,5.000.000.000,,,5000000000.0
