row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,1.266.288.923.132,1.551.243.207.916,,100.0,,1266288923132.0,1551243207916.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,85.392.386.403,87.347.705.462,,110.0,4.0,85392386403.0,87347705462.0
1.,1.,1.,Tiền,111,,55.392.386.403,87.347.705.462,,111.0,,55392386403.0,87347705462.0
2.,2.,2.,Các khoản tương đương tiền,112,,30.000.000.000,-,,112.0,,30000000000.0,
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,975.318.073.908,1.150.877.805.357,,130.0,,975318073908.0,1150877805357.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5,46.104.270.168,30.461.875.124,,131.0,5.0,46104270168.0,30461875124.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,6,6.061.267.042,12.647.838.093,,132.0,6.0,6061267042.0,12647838093.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,7,5.000.000.000,5.000.000.000,,135.0,7.0,5000000000.0,5000000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,8,918.152.536.698,1.102.768.092.140,,136.0,8.0,918152536698.0,1102768092140.0
III.,III.,III.,Hàng tồn kho,140,,203.285.297.511,296.271.969.722,,140.0,,203285297511.0,296271969722.0
1.,1.,1.,Hàng tồn kho,141,9,203.285.297.511,296.271.969.722,,141.0,9.0,203285297511.0,296271969722.0
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,2.293.165.310,16.745.727.375,,150.0,,2293165310.0,16745727375.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,1.486.849.190,15.819.342.344,,151.0,10.0,1486849190.0,15819342344.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,18,806.316.120,926.385.031,,153.0,18.0,806316120.0,926385031.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,3.907.181.079.920,2.638.424.426.025,,200.0,,3907181079920.0,2638424426025.0
I.,I.,I.,Tài sản cố định,220,,60.647.928.565,49.152.741.652,,220.0,,60647928565.0,49152741652.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,52.349.768.573,40.654.581.656,,221.0,11.0,52349768573.0,40654581656.0
,,,- Nguyên giá,222,,89.679.673.128,70.871.241.532,,222.0,,89679673128.0,70871241532.0
,,,- Giá trị hao mòn lũy kế,223,,(37.329.904.555),(30.216.659.876),,223.0,,-37329904555.0,-30216659876.0
2.,2.,2.,Tài sản cố định vô hình,227,12,8.298.159.992,8.498.159.996,,227.0,12.0,8298159992.0,8498159996.0
,,,- Nguyên giá,228,,8.698.160.000,8.698.160.000,,228.0,,8698160000.0,8698160000.0
,,,- Giá trị hao mòn lũy kế,229,,(400.000.008),(200.000.004),,229.0,,-400000008.0,-200000004.0
II.,II.,II.,Bất động sản đầu tư,230,13,55.613.165.013,57.298.363.090,,230.0,13.0,55613165013.0,57298363090.0
,,,- Nguyên giá,231,,94.840.642.188,95.424.353.542,,231.0,,94840642188.0,95424353542.0
,,,- Giá trị hao mòn lũy kế,232,,(39.227.477.175),(38.125.990.452),,232.0,,-39227477175.0,-38125990452.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,118.070.933.807,77.523.321.283,,240.0,,118070933807.0,77523321283.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,118.070.933.807,77.523.321.283,,242.0,14.0,118070933807.0,77523321283.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,15,3.672.308.363.386,2.454.450.000.000,,250.0,15.0,3672308363386.0,2454450000000.0
1.,1.,1.,Đầu tư vào công ty con,251,,3.684.525.000.000,2.454.450.000.000,,251.0,,3684525000000.0,2454450000000.0
2.,2.,2.,Dự phòng đầu tư tài chính dài hạn,254,,(12.216.636.614),-,,254.0,,-12216636614.0,
V.,V.,V.,Tài sản dài hạn khác,260,,540.689.149,-,,260.0,,540689149.0,
1.,1.,1.,Chi phí trả trước dài hạn,261,10,540.689.149,-,,261.0,10.0,540689149.0,
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,5.173.470.003.052,4.189.667.633.941,,270.0,,5173470003052.0,4189667633941.0
