row_label_raw,row_label_full,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo),MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,MÃU SỐ B 09-DN,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,numeric__MÃU SỐ B 09-DN
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,,,
,,,,VND,VND,,,
Trả gốc vay (Thuyết minh số 21),Bên liên quan > Trả gốc vay (Thuyết minh số 21),Trả gốc vay (Thuyết minh số 21),,-,37.311.000.000,,,37311000000.0
Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản S-Homes,Bên liên quan > Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản S-Homes,Trả gốc vay,-,20.000.000.000,,,20000000000.0
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Bên liên quan > Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Trả gốc vay,-,15.000.000.000,,,15000000000.0
Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Bên liên quan > Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Trả gốc vay,-,2.311.000.000,,,2311000000.0
Chi phí tài chính (Thuyết minh số 29),Bên liên quan > Chi phí tài chính (Thuyết minh số 29),Chi phí tài chính (Thuyết minh số 29),,-,10.009.282.192,,,10009282192.0
Công ty Cổ phần Sao Ánh Dương,Bên liên quan > Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Chi phí từ Hợp đồng hợp tác đầu tư,-,9.277.775.342,,,9277775342.0
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Bên liên quan > Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Chi phí lãi vay,-,731.506.850,,,731506850.0
Góp vốn,Bên liên quan > Góp vốn,Góp vốn,,600.000.000.000,Chưa thành lập,,600000000000.0,
Công ty Cổ phần Quản lý Vận hành Khách sạn & Khu nghỉ dưỡng Matterhorn,Bên liên quan > Công ty Cổ phần Quản lý Vận hành Khách sạn & Khu nghỉ dưỡng Matterhorn,Công ty Cổ phần Quản lý Vận hành Khách sạn & Khu nghỉ dưỡng Matterhorn,Góp vốn vào công ty,600.000.000.000,Chưa thành lập,,600000000000.0,
Nhận chuyển nhượng cổ phần,Bên liên quan > Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,,-,267.000.000.000,,,267000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Bên liên quan > Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Nhân chuyển nhượng cổ phần,-,267.000.000.000,,,267000000000.0
