row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Doanh thu cung cấp dịch vụ (Thuyết minh số 25),Doanh thu cung cấp dịch vụ (Thuyết minh số 25),Doanh thu cung cấp dịch vụ (Thuyết minh số 25),,62.744.631.137,61.614.783.673,,62744631137.0,61614783673.0
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Doanh thu phí quản lý dự án,45.928.811.816,44.626.673.670,,45928811816.0,44626673670.0
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Doanh thu phí quản lý dự án,15.381.576.898,14.709.113.639,,15381576898.0,14709113639.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Doanh thu cho thuê xe ô tô,774.242.423,763.636.364,,774242423.0,763636364.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Doanh thu cho thuê văn phòng,660.000.000,660.000.000,,660000000.0,660000000.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Doanh thu cho thuê sản thương mại,-,855.360.000,,,855360000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,369.634.334.804,139.636.673.137,,369634334804.0,139636673137.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Chi phí thương hiệu, in lịch",10.126.474.246,-,,10126474246.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Chi phí thi công hoàn thiện dự án,3.273.916.565,32.332.179.091,,3273916565.0,32332179091.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Chi phí vận hành tòa nhà Sunshine Center,3.011.914.573,,,3011914573.0,
,,,,,5.020.222.227,,,5020222227.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Chi phí dịch vụ suất ăn,1.836.175.433,939.609.081,,1836175433.0,939609081.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Chi phí dịch vụ hoa hồng, môi giới và lắp đặt thiết bị dự án",2.556.642.163,,,2556642163.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí voucher quả tặng nội thất,1.934.689.938,-,,1934689938.0,
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-Homes,Chi phí thi công xây dựng và phí quản lý dự án,6.894.521.886,31.334.296.364,,6894521886.0,31334296364.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Chi phí quảng cáo dự án,-,,,,
,,,,,1.080.895.000,,,1080895000.0
Mở hợp đồng tiền gửi có kỳ hạn,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE > Mở hợp đồng tiền gửi có kỳ hạn,Mở hợp đồng tiền gửi có kỳ hạn,,100.000.000.000,-,,100000000000.0,
Ngân hàng Thương mại Cổ phần Kiên Long,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE > Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Mở hợp đồng tiền gửi có kỳ hạn,100.000.000.000,-,,100000000000.0,
Tất toán hợp đồng tiền gửi có kỳ hạn,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE > Tất toán hợp đồng tiền gửi có kỳ hạn,Tất toán hợp đồng tiền gửi có kỳ hạn,,70.000.000.000,3.000.000.000,,70000000000.0,3000000000.0
Ngân hàng Thương mại Cổ phần Kiên Long,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE > Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Tất toán hợp đồng tiền gửi có kỳ hạn,70.000.000.000,3.000.000.000,,70000000000.0,3000000000.0
