row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,Chi phí thu xếp khoản vay VND,Tổng VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí thu xếp khoản vay VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,17.120.720.180,-,17.120.720.180,17120720180.0,,17120720180.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,11.191.112.037,41.363.440.000,52.554.552.037,11191112037.0,41363440000.0,52554552037.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,7.293.595.159,-,7.293.595.159,7293595159.0,,7293595159.0
Thanh lý,Thanh lý,Thanh lý,(59.589.490),-,(59.589.490),-59589490.0,,-59589490.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(15.872.704.539),(2.427.650.308),(18.300.354.847),-15872704539.0,-2427650308.0,-18300354847.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,19.673.133.347,38.935.789.692,58.608.923.039,19673133347.0,38935789692.0,58608923039.0
