row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,12.544.546.167,9.804.552.453,18.770.402.286,27.691.291.057,68.810.791.963,12544546167.0,9804552453.0,18770402286.0,27691291057.0,68810791963.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.848.369.200,-,367.438.496,2.215.807.696,,1848369200.0,,367438496.0,2215807696.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,1.254.959.380,12.838.498.111,-,-,14.093.457.491,1254959380.0,12838498111.0,,,14093457491.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.061.323.809),(1.574.929.738),(167.365.754),(2.803.619.301),,-1061323809.0,-1574929738.0,-167365754.0,-2803619301.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.799.505.547,23.430.095.955,17.195.472.548,27.891.363.799,82.316.437.849,13799505547.0,23430095955.0,17195472548.0,27891363799.0,82316437849.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,12.544.546.167,4.044.983.386,6.930.115.743,23.488.019.512,47.007.664.808,12544546167.0,4044983386.0,6930115743.0,23488019512.0,47007664808.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,164.339.918,1.474.384.784,2.507.333.995,1.371.944.637,5.518.003.334,164339918.0,1474384784.0,2507333995.0,1371944637.0,5518003334.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(472.112.564),(306.236.337),(167.365.754),(945.714.655),,-472112564.0,-306236337.0,-167365754.0,-945714655.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.708.886.085,5.047.255.606,9.131.213.401,24.692.598.395,51.579.953.487,12708886085.0,5047255606.0,9131213401.0,24692598395.0,51579953487.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,5.759.569.067,11.840.286.543,4.203.271.545,21.803.127.155,,5759569067.0,11840286543.0,4203271545.0,21803127155.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.090.619.462,18.382.840.349,8.064.259.147,3.198.765.404,30.736.484.362,1090619462.0,18382840349.0,8064259147.0,3198765404.0,30736484362.0
