row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã Số Thuyế t minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã Số Thuyế t minh,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,390.472.870.687,57.941.776.019,,1.0,390472870687.0,57941776019.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
-,2. Điều chỉnh cho các khoản: > -,-,Khấu hao tài sản cố định và bắt động sản đầu tư,02,32.470.795.540,17.236.642.581,,2.0,32470795540.0,17236642581.0
-,2. Điều chỉnh cho các khoản: > -,-,Các khoản dự phòng,03,7.914.833.333,-,,3.0,7914833333.0,
-,2. Điều chỉnh cho các khoản: > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,-,-,,4.0,,
-,2. Điều chỉnh cho các khoản: > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,(10.933.371.312),2.990.330.179,,5.0,-10933371312.0,2990330179.0
-,2. Điều chỉnh cho các khoản: > -,-,Chỉ phí lãi vay,06,8.252.007.658,114.976.065.796,,6.0,8252007658.0,114976065796.0
-,2. Điều chỉnh cho các khoản: > -,-,Các khoản điều chỉnh khác,07,-,-,,7.0,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,428.177.135.906,193.144.814.575,,8.0,428177135906.0,193144814575.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm các khoản phải thu",09,814.925.288.069,1.536.365.310.622,,9.0,814925288069.0,1536365310622.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm hàng tồn kho",10,(98.327.572.822),(102.093.754.530),,10.0,-98327572822.0,-102093754530.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm các khoản phải trả",11,(761.084.856.958),254.539.562.232,,11.0,-761084856958.0,254539562232.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm chỉ phí trả trước",12,(39.573.894.870),(47.847.944.463),,12.0,-39573894870.0,-47847944463.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm chứng khoán kinh doanh",13,(65.097.500.000),-,,13.0,-65097500000.0,
-,2. Điều chỉnh cho các khoản: > -,-,Tiền lãi vay đã trả,14,(8.252.007.658),(119.081.716.683),,14.0,-8252007658.0,-119081716683.0
-,2. Điều chỉnh cho các khoản: > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,(63.433.657.343),(3.722.333.471),,15.0,-63433657343.0,-3722333471.0
-,2. Điều chỉnh cho các khoản: > -,-,Tiền thu khác từ hoạt động kinh doanh,16,-,111.473.100.000,,16.0,,111473100000.0
-,2. Điều chỉnh cho các khoản: > -,-,Tiền chỉ khác cho hoạt động kinh doanh,17,-,-,,17.0,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,207.332.934.324,1.822.777.038.282,,20.0,207332934324.0,1822777038282.0
