row_label_raw,row_label_full,col_0,Giá trị số sách > Số cuối năm,Giá trị số sách > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị số sách > Số cuối năm,numeric__Giá trị số sách > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,290.885.247.960,68.075.924.740,290.885.247.960,68.075.924.740,290885247960.0,68075924740.0,290885247960.0,68075924740.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,57.182.666.667,17.000.000.000,57.182.666.667,17.000.000.000,57182666667.0,17000000000.0,57182666667.0,17000000000.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,2.714.759.937.080,3.518.691.350.382,2.714.759.937.080,3.518.691.350.382,2714759937080.0,3518691350382.0,2714759937080.0,3518691350382.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,17.110.809.256,25.655.967.223,17.110.809.256,25.655.967.223,17110809256.0,25655967223.0,17110809256.0,25655967223.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,114.878.963.838,117.067.233.628,114.878.963.838,117.067.233.628,114878963838.0,117067233628.0,114878963838.0,117067233628.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,63.274.638.996,34.624.187.416,63.274.638.996,34.624.187.416,63274638996.0,34624187416.0,63274638996.0,34624187416.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.258.092.263.797,3.781.114.663.389,3.258.092.263.797,3.781.114.663.389,3258092263797.0,3781114663389.0,3258092263797.0,3781114663389.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,163.080.042.398,74.528.640.959,163.080.042.398,74.528.640.959,163080042398.0,74528640959.0,163080042398.0,74528640959.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,3.774.329.848.165,4.529.370.317.713,3.774.329.848.165,4.529.370.317.713,3774329848165.0,4529370317713.0,3774329848165.0,4529370317713.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,46.525.566.874,15.723.641.948,46.525.566.874,15.723.641.948,46525566874.0,15723641948.0,46525566874.0,15723641948.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,3.983.935.457.437,4.619.622.600.620,3.983.935.457.437,4.619.622.600.620,3983935457437.0,4619622600620.0,3983935457437.0,4619622600620.0
