row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thăn dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thăn dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,100.000.000.000,-,19.761.620.663,-,119.761.620.663,100000000000.0,,19761620663.0,,119761620663.0
Tăng vốn trong năm trước bằng tiền,Tăng vốn trong năm trước bằng tiền,Tăng vốn trong năm trước bằng tiền,400.000.000.000,-,-,-,400.000.000.000,400000000000.0,,,,400000000000.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,45.826.798.206,-,45.826.798.206,,,45826798206.0,,45826798206.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,500.000.000.000,-,65.588.418.869,-,565.588.418.869,500000000000.0,,65588418869.0,,565588418869.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,500.000.000.000,-,65.588.418.869,-,565.588.418.869,500000000000.0,,65588418869.0,,565588418869.0
Tăng vốn trong năm bằng tiền (*),Tăng vốn trong năm bằng tiền (*),Tăng vốn trong năm bằng tiền (*),280.000.000.000,279.844.500.000,-,7.620.000.000,567.464.500.000,280000000000.0,279844500000.0,,7620000000.0,567464500000.0
Điều chính lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu,Điều chính lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu,Điều chính lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu,-,-,14.441.319,(39.890.775),(25.449.456),,,14441319.0,-39890775.0,-25449456.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,321.720.447.789,70.554.264,321.791.002.053,,,321720447789.0,70554264.0,321791002053.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,780.000.000.000,279.844.500.000,387.323.307.977,7.650.663.489,1.454.818.471.466,780000000000.0,279844500000.0,387323307977.0,7650663489.0,1454818471466.0
