row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Kết chuyển vào TSCĐ trong năm,Kết chuyển chi phí trả trước dài hạn,Giảm khác,Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyển vào TSCĐ trong năm,numeric__Kết chuyển chi phí trả trước dài hạn,numeric__Giảm khác,numeric__Số cuối năm
Lắp đặt hệ thống chống sét lan truyền trại BP2,Lắp đặt hệ thống chống sét lan truyền trại BP2,Lắp đặt hệ thống chống sét lan truyền trại BP2,159.418.870,-,(159.418.870),-,-,-,159418870.0,,-159418870.0,,,
Lắp đặt hệ thống chống sét lan truyền trại BT1,Lắp đặt hệ thống chống sét lan truyền trại BT1,Lắp đặt hệ thống chống sét lan truyền trại BT1,233.695.407,-,(233.695.407),-,-,-,233695407.0,,-233695407.0,,,
Lắp đặt hệ thống chống sét lan truyền trại BT2,Lắp đặt hệ thống chống sét lan truyền trại BT2,Lắp đặt hệ thống chống sét lan truyền trại BT2,198.638.589,-,(198.638.589),-,-,-,198638589.0,,-198638589.0,,,
Lắp đặt hệ thống chống sét lan truyền trại VT1,Lắp đặt hệ thống chống sét lan truyền trại VT1,Lắp đặt hệ thống chống sét lan truyền trại VT1,261.363.784,-,(261.363.784),-,-,-,261363784.0,,-261363784.0,,,
Lắp đặt hệ thống chống sét lan truyền trại BD2,Lắp đặt hệ thống chống sét lan truyền trại BD2,Lắp đặt hệ thống chống sét lan truyền trại BD2,160.173.772,-,(160.173.772),-,-,-,160173772.0,,-160173772.0,,,
Chi phí dịch vụ giám sát bản vẽ,Chi phí dịch vụ giám sát bản vẽ,Chi phí dịch vụ giám sát bản vẽ,-,285.000.000,-,-,-,285.000.000,,285000000.0,,,,285000000.0
Công trình Lò Hơi BAF Tây Ninh,Công trình Lò Hơi BAF Tây Ninh,Công trình Lò Hơi BAF Tây Ninh,-,1.661.550.000,-,,-,1.661.550.000,,1661550000.0,,,,1661550000.0
Nhà máy cám,Nhà máy cám,Nhà máy cám,-,742.500.000,-,-,-,742.500.000,,742500000.0,,,,742500000.0
Hệ thống xử lý nước thải,Hệ thống xử lý nước thải,Hệ thống xử lý nước thải,-,2.637.884.846,-,-,-,2.637.884.846,,2637884846.0,,,,2637884846.0
Hệ thống xử lý nước thải trại TH1,Hệ thống xử lý nước thải trại TH1,Hệ thống xử lý nước thải trại TH1,-,1.837.884.846,-,-,-,1.837.884.846,,1837884846.0,,,,1837884846.0
Hệ thống xử lý nước thải trại BT1,Hệ thống xử lý nước thải trại BT1,Hệ thống xử lý nước thải trại BT1,-,800.000.000,,,,800.000.000,,800000000.0,,,,800000000.0
Hệ thống nguồn Silo,Hệ thống nguồn Silo,Hệ thống nguồn Silo,41.201.000,-,-,-,-,41.201.000,41201000.0,,,,,41201000.0
Lắp đặt hệ thống nguồn silo trại VT1,Lắp đặt hệ thống nguồn silo trại VT1,Lắp đặt hệ thống nguồn silo trại VT1,29.707.000,-,-,-,-,29.707.000,29707000.0,,,,,29707000.0
Lắp đặt hệ thống nguồn silo trại BP1,Lắp đặt hệ thống nguồn silo trại BP1,Lắp đặt hệ thống nguồn silo trại BP1,11.494.000,-,-,-,-,11.494.000,11494000.0,,,,,11494000.0
Thi công hàng rào bảo vệ khu đất Mai Chí Thọ,Thi công hàng rào bảo vệ khu đất Mai Chí Thọ,Thi công hàng rào bảo vệ khu đất Mai Chí Thọ,76.010.000,-,(76.010.000),-,-,-,76010000.0,,-76010000.0,,,
Nhà xưởng tại Công ty TNHH SX TM DV Chăn Nuôi Minh Thành,Nhà xưởng tại Công ty TNHH SX TM DV Chăn Nuôi Minh Thành,Nhà xưởng tại Công ty TNHH SX TM DV Chăn Nuôi Minh Thành,-,1.840.000.000,-,-,-,1.840.000.000,,1840000000.0,,,,1840000000.0
Nhà xưởng tại Công ty TNHH SX TM DV Bắc An Khánh,Nhà xưởng tại Công ty TNHH SX TM DV Bắc An Khánh,Nhà xưởng tại Công ty TNHH SX TM DV Bắc An Khánh,-,427.776.650,-,-,-,427.776.650,,427776650.0,,,,427776650.0
Nhà xưởng tại Công ty TNHH SX TM DV Đông An Khánh,Nhà xưởng tại Công ty TNHH SX TM DV Đông An Khánh,Nhà xưởng tại Công ty TNHH SX TM DV Đông An Khánh,-,108.208.500,-,-,-,108.208.500,,108208500.0,,,,108208500.0
Nhà xưởng tại Công ty TNHH chăn nuôi công nghệ cao Sông Hính,Nhà xưởng tại Công ty TNHH chăn nuôi công nghệ cao Sông Hính,Nhà xưởng tại Công ty TNHH chăn nuôi công nghệ cao Sông Hính,-,3.060.000.000,-,-,-,3.060.000.000,,3060000000.0,,,,3060000000.0
Nhà xưởng tại Công ty TNHH Chăn Nuôi Nam An Khánh,Nhà xưởng tại Công ty TNHH Chăn Nuôi Nam An Khánh,Nhà xưởng tại Công ty TNHH Chăn Nuôi Nam An Khánh,-,202.852.500,-,-,-,202.852.500,,202852500.0,,,,202852500.0
Nhà xưởng tại Công ty TNHH Đầu Tư Trang Trại Xanh 1,Nhà xưởng tại Công ty TNHH Đầu Tư Trang Trại Xanh 1,Nhà xưởng tại Công ty TNHH Đầu Tư Trang Trại Xanh 1,-,80.053.044.670,,,-,80.053.044.670,,80053044670.0,,,,80053044670.0
