row_label_raw,row_label_full,col_0,Số cuối kỳ > Giá gốc,Số cuối kỳ > Dự phòng,Số cuối kỳ > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối kỳ > Giá gốc,numeric__Số cuối kỳ > Dự phòng,numeric__Số cuối kỳ > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,65.097.500.000,(7.914.833.333),57.182.666.667,-,-,-,65097500000.0,-7914833333.0,57182666667.0,,,
Công ty cổ phần Cảng Quảng Ninh (1),Công ty cổ phần Cảng Quảng Ninh (1),Công ty cổ phần Cảng Quảng Ninh (1),65.097.500.000,(7.914.833.333),57.182.666.667,-,-,-,65097500000.0,-7914833333.0,57182666667.0,,,
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,-,-,-,17.000.000.000,-,17.000.000.000,,,,17000000000.0,,17000000000.0
Ngân hàng TMCP SHB - CN Trung Hòa,Ngân hàng TMCP SHB - CN Trung Hòa,Ngân hàng TMCP SHB - CN Trung Hòa,-,-,-,4.000.000.000,-,4.000.000.000,,,,4000000000.0,,4000000000.0
Nhân Chính,Nhân Chính,Nhân Chính,-,-,-,-,-,-,,,,,,
Ngân hàng TMCP Tiên Phong - Chi nhánh Hồ Chí Minh,Nhân Chính > Ngân hàng TMCP Tiên Phong - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Tiên Phong - Chi nhánh Hồ Chí Minh,-,-,-,10.000.000.000,-,10.000.000.000,,,,10000000000.0,,10000000000.0
Ngân hàng TMCP SHB- PGD Bình Thạnh,Nhân Chính > Ngân hàng TMCP SHB- PGD Bình Thạnh,Ngân hàng TMCP SHB- PGD Bình Thạnh,-,-,-,3.000.000.000,-,3.000.000.000,,,,3000000000.0,,3000000000.0
Cộng,Nhân Chính > Cộng,Cộng,65.097.500.000,(7.914.833.333),57.182.666.667,17.000.000.000,-,17.000.000.000,65097500000.0,-7914833333.0,57182666667.0,17000000000.0,,17000000000.0
