row_label_raw,row_label_full,Góp vốn Tăng vốn trong năm,Năm nay > Góp vốn Tăng vốn trong năm,Năm trước > Góp vốn Tăng vốn trong năm,numeric__Năm nay > Góp vốn Tăng vốn trong năm,numeric__Năm trước > Góp vốn Tăng vốn trong năm
Bà Bùi Hương Giang,Bà Bùi Hương Giang,Bà Bùi Hương Giang,50.750.000.000,320.000.000.000,50750000000.0,320000000000.0
Bà Vũ Thị Thủy Dung (Miễn nhiệm ngày 02/3/2021),Bà Vũ Thị Thủy Dung (Miễn nhiệm ngày 02/3/2021),Bà Vũ Thị Thủy Dung (Miễn nhiệm ngày 02/3/2021),-,40.000.000.000,,40000000000.0
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,200.000.000,40.000.000.000,200000000.0,40000000000.0
Ông Phan Ngọc Án,Ông Phan Ngọc Án,Ông Phan Ngọc Án,5.500.000.000,-,5500000000.0,
Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,600.000.000,-,600000000.0,
Ông Nguyễn Thanh Hải,Ông Nguyễn Thanh Hải,Ông Nguyễn Thanh Hải,400.000.000,-,400000000.0,
Ông Nguyễn Quốc văn,Ông Nguyễn Quốc văn,Ông Nguyễn Quốc văn,100.000.000,-,100000000.0,
Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,,
Ông Nguyễn Đức Thắng- Giám đốc Dự án,Tạm ứng thành viên Ban lãnh đạo > Ông Nguyễn Đức Thắng- Giám đốc Dự án,Ông Nguyễn Đức Thắng- Giám đốc Dự án,-,19.255.131.513,,19255131513.0
Chuyển nhượng vốn góp,Chuyển nhượng vốn góp,Chuyển nhượng vốn góp,Chuyển nhượng vốn góp,Chuyển nhượng vốn góp,,
Ông Phan Ngọc Án - Chủ tịch HĐQT,Ông Phan Ngọc Án - Chủ tịch HĐQT,Ông Phan Ngọc Án - Chủ tịch HĐQT,,-,,
Phải thu về bán vốn góp công ty con,Ông Phan Ngọc Án - Chủ tịch HĐQT > Phải thu về bán vốn góp công ty con,Phải thu về bán vốn góp công ty con,400.000.000,-,400000000.0,
Thu tiền bán vốn góp công ty con,Ông Phan Ngọc Án - Chủ tịch HĐQT > Thu tiền bán vốn góp công ty con,Thu tiền bán vốn góp công ty con,400.000.000,-,400000000.0,
Bà Nguyễn Thị Ngọc Thúy - Kế toán trường,Bà Nguyễn Thị Ngọc Thúy - Kế toán trường,Bà Nguyễn Thị Ngọc Thúy - Kế toán trường,Bà Nguyễn Thị Ngọc Thúy - Kế toán trường,Bà Nguyễn Thị Ngọc Thúy - Kế toán trường,,
Phải thu về bán vốn góp công ty con,Bà Nguyễn Thị Ngọc Thúy - Kế toán trường > Phải thu về bán vốn góp công ty con,Phải thu về bán vốn góp công ty con,800.000.000,-,800000000.0,
Thu tiền bán vốn góp công ty con,Bà Nguyễn Thị Ngọc Thúy - Kế toán trường > Thu tiền bán vốn góp công ty con,Thu tiền bán vốn góp công ty con,800.000.000,-,800000000.0,
