row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Kết chuyển vào TSCĐ trong năm,Kết chuyển chi phí trả trước dài hạn,Giảm khác,Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyển vào TSCĐ trong năm,numeric__Kết chuyển chi phí trả trước dài hạn,numeric__Giảm khác,numeric__Số cuối năm
Xây dựng cơ bản dở dang tại Công ty TNHH Chăn nuôi Bảo Ngọc,Xây dựng cơ bản dở dang tại Công ty TNHH Chăn nuôi Bảo Ngọc,Xây dựng cơ bản dở dang tại Công ty TNHH Chăn nuôi Bảo Ngọc,5.321.266.892,6.373.835.485,(5.611.430.244),-,-,6.083.672.133,5321266892.0,6373835485.0,-5611430244.0,,,6083672133.0
Hệ thống xử lý nước thải,Hệ thống xử lý nước thải,Hệ thống xử lý nước thải,1.022.156.892,1.437.260.756,,-,-,2.459.417.648,1022156892.0,1437260756.0,,,,2459417648.0
Hệ thống silo và đường tài cám,Hệ thống silo và đường tài cám,Hệ thống silo và đường tài cám,4.299.110.000,1.278.523.600,(5.329.983.600),-,-,247.650.000,4299110000.0,1278523600.0,-5329983600.0,,,247650000.0
Xây dựng hệ thống trang trại lợn,Xây dựng hệ thống trang trại lợn,Xây dựng hệ thống trang trại lợn,-,3.658.051.129,(281.446.644),-,-,3.376.604.485,,3658051129.0,-281446644.0,,,3376604485.0
Xây dựng cơ bản dở dang tại Công ty TNHH Anh Vũ Phú Yên,Xây dựng cơ bản dở dang tại Công ty TNHH Anh Vũ Phú Yên,Xây dựng cơ bản dở dang tại Công ty TNHH Anh Vũ Phú Yên,5.431.244.839,136.881.924.412,-,-,-,142.313.169.251,5431244839.0,136881924412.0,,,,142313169251.0
Thi công xây dựng trang trại nuôi heo nải sinh sản Anh Vũ,Thi công xây dựng trang trại nuôi heo nải sinh sản Anh Vũ,Thi công xây dựng trang trại nuôi heo nải sinh sản Anh Vũ,5.431.244.839,107.516.031.592,-,-,-,112.947.276.431,5431244839.0,107516031592.0,,,,112947276431.0
Mua sắm máy móc thiết bị,Mua sắm máy móc thiết bị,Mua sắm máy móc thiết bị,-,29.365.892.820,-,-,-,29.365.892.820,,29365892820.0,,,,29365892820.0
Sửa chữa lớn TSCĐ,Sửa chữa lớn TSCĐ,Sửa chữa lớn TSCĐ,782.561.345,-,(782.561.345),-,-,-,782561345.0,,-782561345.0,,,
Cải tạo Trại VT1,Cải tạo Trại VT1,Cải tạo Trại VT1,782.561.345,-,(782.561.345),-,-,-,782561345.0,,-782561345.0,,,
Cộng,Cộng,Cộng,117.655.343.850,339.136.592.575,(203.317.948.539),(3.149.534.959),(2.122.485.136),248.201.967.791,117655343850.0,339136592575.0,-203317948539.0,-3149534959.0,-2122485136.0,248201967791.0
