row_label_raw,row_label_full,col_0,Lĩnh vực thương mại,Lĩnh vực chăn nuôi,Lĩnh vực dịch vụ,Cộng,numeric__Lĩnh vực thương mại,numeric__Lĩnh vực chăn nuôi,numeric__Lĩnh vực dịch vụ,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,3.120.822.703.639,1.686.335.889.209,14.912.916.682,4.822.071.509.530,3120822703639.0,1686335889209.0,14912916682.0,4822071509530.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,635.174.500.913,,,,635174500913.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,5.457.246.010.443,,,,5457246010443.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,3.759.853.600.645,215.927.501.216,,3.975.781.101.861,3759853600645.0,215927501216.0,,3975781101861.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,-,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,26.646.437.116,,,,26646437116.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,4.002.427.538.977,,,,4002427538977.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,4.346.493.488.066,587.101.279.223,-,4.933.594.767.289,4346493488066.0,587101279223.0,,4933594767289.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,-,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,312.237.828.551,,,,312237828551.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,5.245.832.595.840,,,,5245832595840.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,4.559.023.206.507,107.696.451.594,-,4.666.719.658.101,4559023206507.0,107696451594.0,,4666719658101.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,-,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,13.524.518.870,,,,13524518870.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,4.680.244.176.971,,,,4680244176971.0
