row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2024VND,2023VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG KINH DOANH,,,,,,,
01,Mãsố > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,,250.925.651.037,216.721.597.051,,,250925651037.0,216721597051.0
02,Mãsố > 02,02,Khấu hao tài sản cố định,,20.818.512.149,17.186.496.897,,,20818512149.0,17186496897.0
05,Mãsố > 05,05,Lãi từ hoạt động đầu tư,,(54.844.983.471),(21.654.512.574),,,-54844983471.0,-21654512574.0
06,Mãsố > 06,06,Chi phí lãi vay,,17.784.714.733,25.847.496.177,,,17784714733.0,25847496177.0
08,Mãsố > 08,08,Lợi nhuận từ hoạt động kinhdoanh trước những thay đõivốn lưu động,,234.683.894.448,238.101.077.551,,,234683894448.0,238101077551.0
09,Mãsố > 09,09,Tăng các khoản phải thu,,(345.904.468.033),(297.263.275.038),,,-345904468033.0,-297263275038.0
10,Mãsố > 10,10,Giảm hàng tồn kho,,9.575.479.708,83.455.341.478,,,9575479708.0,83455341478.0
11,Mãsố > 11,11,"Tăng các khoản phải trả [khôngkế lãi vay phải trả, thuế TNDNphải nộp]",,74.369.245.704,192.411.971.647,,,74369245704.0,192411971647.0
12,Mãsố > 12,12,Giảm/(tăng) chi phí trả trước,,1.268.124.196,(501.534.022),,,1268124196.0,-501534022.0
14,Mãsố > 14,14,Tiền lãi vay đã trả,,(18.725.321.320),(69.192.202.370),,,-18725321320.0,-69192202370.0
15,Mãsố > 15,15,Thuế thu nhập doanh nghiệp đãnộp,,(46.963.438.756),(34.213.906.403),,,-46963438756.0,-34213906403.0
20,Mãsố > 20,20,Lưu chuyển tiền thuần từhoạt động kinh doanh,,(91.696.484.053),112.797.472.843,,,-91696484053.0,112797472843.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG ĐẦU TỪ,,,,,,,
21,Mãsố > 21,21,"Chi đề mua sắm, xây dựngTSCĐ và các tài sản dài hạnkhác",,(25.906.053.995),(28.330.807.775),,,-25906053995.0,-28330807775.0
22,Mãsố > 22,22,"Thu từ thanh lý, nhượng bánTSCĐ và tài sản dài hạn khác",,30.000.000,15.814.973.910,,,30000000.0,15814973910.0
23,Mãsố > 23,23,"Chi cho vay, mua các công cụnợ của đơn vị khác",,(455.906.389.990),(2.500.000.000),,,-455906389990.0,-2500000000.0
24,Mãsố > 24,24,"Thu hồi cho vay, bán lại cáccông cụ nợ của đơn vị khác",,29.700.000.000,3.500.000.000,,,29700000000.0,3500000000.0
25,Mãsố > 25,25,Chi đầu tư góp vốn vào đơn vịkhác,,(327.179.109.206),(79.024.000.000),,,-327179109206.0,-79024000000.0
26,Mãsố > 26,26,Thu hồi đầu tư góp vốn vàođơn vị khác,,80.916.000.000,78.380.000.000,,,80916000000.0,78380000000.0
27,Mãsố > 27,27,"Thu lãi cho vay, cổ tức và lợinhuyện được chia",,15.533.455.744,21.674.604.153,,,15533455744.0,21674604153.0
30,Mãsố > 30,30,Lưu chuyển tiền thuần từhoạt động đầu tư,,(682.812.097.447),9.514.770.288,,,-682812097447.0,9514770288.0
