row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Từ 01 năm trở xuống VND > Tại ngày 31 tháng 12 năm 2024,Trên 1 năm đến 5 năm VND > Tại ngày 31 tháng 12 năm 2024,Trên 05 năm VND > Tại ngày 31 tháng 12 năm 2024,Cộng VND > Tại ngày 31 tháng 12 năm 2024,numeric__Từ 01 năm trở xuống VND > Tại ngày 31 tháng 12 năm 2024,numeric__Trên 1 năm đến 5 năm VND > Tại ngày 31 tháng 12 năm 2024,numeric__Trên 05 năm VND > Tại ngày 31 tháng 12 năm 2024,numeric__Cộng VND > Tại ngày 31 tháng 12 năm 2024
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,208.778.760.864,-,-,208.778.760.864,208778760864.0,,,208778760864.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,4.719.425.163,232.651.836.038,-,237.371.261.201,4719425163.0,232651836038.0,,237371261201.0
Vay và nợ,Vay và nợ,Vay và nợ,210.037.037.549,32.520.806.453,-,242.557.844.002,210037037549.0,32520806453.0,,242557844002.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,128.925.836.049,-,-,128.925.836.049,128925836049.0,,,128925836049.0
Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,612.775.252.403,1.149.932.236,5.500.000.000,619.425.184.639,612775252403.0,1149932236.0,5500000000.0,619425184639.0
Cộng,Cộng,Cộng,1.165.236.312.028,266.322.574.727,5.500.000.000,1.437.058.886.755,1165236312028.0,266322574727.0,5500000000.0,1437058886755.0
