row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2024VND,2023VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,1.733.040.502.322,1.465.515.257.075,1733040502322.0,1465515257075.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,1.162.812.101.711,1.108.529.335.122,1162812101711.0,1108529335122.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",363.944.410.409,298.396.668.923,363944410409.0,298396668923.0
Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,29.165.855.839,22.951.163.676,29165855839.0,22951163676.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,20.325.723.896,20.915.838.636,20325723896.0,20915838636.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,156.792.410.467,14.722.250.718,156792410467.0,14722250718.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,1.733.040.502.322,1.465.515.257.075,1733040502322.0,1465515257075.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,898.113.120.197,1.200.814.214.593,898113120197.0,1200814214593.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Các khoản giảm trừ doanh thu > Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",345.282.919.265,280.939.401.196,345282919265.0,280939401196.0
Doanh thu xây lắp,Các khoản giảm trừ doanh thu > Doanh thu xây lắp,Doanh thu xây lắp,426.357.502.352,890.912.859.517,426357502352.0,890912859517.0
Doanh thu vận hành các trạm thu phí,Các khoản giảm trừ doanh thu > Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,29.165.855.839,22.951.163.676,29165855839.0,22951163676.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,97.306.842.741,6.010.790.204,97306842741.0,6010790204.0
