row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01 tháng 01 năm 2024,NGUYÊN GIÁ > Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,73.997.216.006,75.506.943.098,79.454.315.653,751.238.992,229.709.713.749,73997216006.0,75506943098.0,79454315653.0,751238992.0,229709713749.0
Số tăng trong năm,NGUYÊN GIÁ > Số tăng trong năm,Số tăng trong năm,586.708.099,2.612.559.445,9.596.779.927,254.925.455,13.050.972.926,586708099.0,2612559445.0,9596779927.0,254925455.0,13050972926.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,586.708.099,2.612.559.445,9.596.779.927,254.925.455,13.050.972.926,586708099.0,2612559445.0,9596779927.0,254925455.0,13050972926.0
Số giảm trong năm,NGUYÊN GIÁ > Số giảm trong năm,Số giảm trong năm,3.431.860.343,-,301.954.545,-,3.733.814.888,3431860343.0,,301954545.0,,3733814888.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",3.399.139.753,-,301.954.545,-,3.701.094.298,3399139753.0,,301954545.0,,3701094298.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,32.720.590,-,-,-,32.720.590,32720590.0,,,,32720590.0
Tại ngày 31 tháng 12 năm 2024,NGUYÊN GIÁ > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,71.152.063.762,78.119.502.543,88.749.141.035,1.006.164.447,239.026.871.787,71152063762.0,78119502543.0,88749141035.0,1006164447.0,239026871787.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại ngày 01 tháng 01 năm 2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,14.958.288.521,23.863.253.592,49.287.722.222,666.338.990,88.775.603.325,14958288521.0,23863253592.0,49287722222.0,666338990.0,88775603325.0
Số tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số tăng trong năm,Số tăng trong năm,3.213.036.338,9.165.993.195,6.251.842.347,53.248.985,18.684.120.865,3213036338.0,9165993195.0,6251842347.0,53248985.0,18684120865.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.213.036.338,9.165.993.195,6.251.842.347,53.248.985,18.684.120.865,3213036338.0,9165993195.0,6251842347.0,53248985.0,18684120865.0
Số giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số giảm trong năm,Số giảm trong năm,1.133.597.106,-,301.954.545,-,1.435.551.651,1133597106.0,,301954545.0,,1435551651.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.131.961.077,-,301.954.545,-,1.433.915.622,1131961077.0,,301954545.0,,1433915622.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,1.636.029,-,-,-,1.636.029,1636029.0,,,,1636029.0
Tại ngày 31 tháng 12 năm 2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,17.037.727.753,33.029.246.787,55.237.610.024,719.587.975,106.024.172.539,17037727753.0,33029246787.0,55237610024.0,719587975.0,106024172539.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày 01 tháng 01 năm 2024,GIÁ TRỊ CÒN LẠI > Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,59.038.927.485,51.643.689.506,30.166.593.431,84.900.002,140.934.110.424,59038927485.0,51643689506.0,30166593431.0,84900002.0,140934110424.0
Tại ngày 31 tháng 12 năm 2024,GIÁ TRỊ CÒN LẠI > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,54.114.336.009,45.090.255.756,33.511.531.011,286.576.472,133.002.699.248,54114336009.0,45090255756.0,33511531011.0,286576472.0,133002699248.0
