row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2024VND,2023VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG TÀI CHÍNH,,,,,,,
31,Mãsố > 31,31,"Thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,830.254.742.000,,,,830254742000.0,
33,Mãsố > 33,33,"Thu từ vay ngắn hạn, dài hạn",,484.325.689.987,522.706.149.824,,,484325689987.0,522706149824.0
34,Mãsố > 34,34,Chi trả nợ gốc vay,,(533.048.154.360),(581.954.421.884),,,-533048154360.0,-581954421884.0
35,Mãsố > 35,35,Chi trả nợ gốc thuê tài chính,,(3.495.086.748),(4.970.543.556),,,-3495086748.0,-4970543556.0
40,Mãsố > 40,40,Lưu chuyển thuần từ hoạt động tài chính,,778.037.190.879,(64.218.815.616),,,778037190879.0,-64218815616.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,3.528.609.379,58.093.427.515,,,3528609379.0,58093427515.0
60,Mãsố > 60,60,Tiền và các khoản tương đương tiền đầu năm,V.1,175.967.475.767,117.874.048.252,,,175967475767.0,117874048252.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-,-,,,,
70,61 > 70,70,Tiền và các khoản tương đương tiền cuối năm,V.1,179.496.085.146,175.967.475.767,,,179496085146.0,175967475767.0
