row_label_raw,row_label_full,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,"65,03%","65,03%",96.156.546.418,220.260.015.300,0.6503,0.6503,96156546418.0,220260015300.0
Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,"73,41%","73,41%",126.290.031.887,(144.479.542.922),0.7341,0.7341,126290031887.0,-144479542922.0
Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,"99,37%","99,37%",21.999.543.213,21.999.543.213,0.9937,0.9937,21999543213.0,21999543213.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,
Tên Công ty,Tên Công ty,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,,,,
Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Tên Công ty > Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,"47,34%","50,00%",123.459.576.082,499.624.939.039,0.47340000000000004,0.5,123459576082.0,499624939039.0
Công ty Cổ phần cao tốc Đồng Đăng - Trà Lĩnh,Tên Công ty > Công ty Cổ phần cao tốc Đồng Đăng - Trà Lĩnh,Công ty Cổ phần cao tốc Đồng Đăng - Trà Lĩnh,"42,31%","55,00%",-,-,0.42310000000000003,0.55,,
Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,Tên Công ty > Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,"38,00%","38,00%",48.748.496.148,48.748.496.148,0.38,0.38,48748496148.0,48748496148.0
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Tên Công ty > Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,"31,60%","31,60%",(2.721.938.414),(1.421.494.880),0.316,0.316,-2721938414.0,-1421494880.0
Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,Tóm tắt hoạt động của khoản đầu tư vào các công ty khác trong năm:,,,,
Đầu tư vào Công ty khác,Đầu tư vào Công ty khác,Đầu tư vào Công ty khác,Đầu tư vào Công ty khác,Đầu tư vào Công ty khác,Đầu tư vào Công ty khác,Đầu tư vào Công ty khác,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,,,,
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Tên Công ty > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"15,37%","15,37%",51.137.460.999,98.914.846.795,0.1537,0.1537,51137460999.0,98914846795.0
