row_label_raw,row_label_full,Ông Lại Xuân Thanh > Ông Nguyễn Nguyên Hùng,Chủ tịch (bổ nhiệm ngày 28 tháng 6 năm 2017) > Chủ tịch (miễn nhiệm ngày 28 tháng 6 năm 2017),numeric__Chủ tịch (bổ nhiệm ngày 28 tháng 6 năm 2017) > Chủ tịch (miễn nhiệm ngày 28 tháng 6 năm 2017)
Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Ủy viên,
Ông Đào Việt Dũng,Ông Đào Việt Dũng,Ông Đào Việt Dũng,Ủy viên,
Bà Lê Thị Diệu Thủy,Bà Lê Thị Diệu Thủy,Bà Lê Thị Diệu Thủy,Ủy viên,
