row_label_raw,row_label_full,Nội dung,Nội dung > Năm nay,Nội dung > Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Nội dung > Năm nay,numeric__Nội dung > Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Doanh thu,Doanh thu,Doanh thu,1.991.946.215.757,1.299.529.555.524,1991946215757.0,1299529555524.0
Doanh thu dịch vụ hạ cắt cánh,Doanh thu dịch vụ hạ cắt cánh,Doanh thu dịch vụ hạ cắt cánh,2.082.314.426.436,1.371.262.389.222,2082314426436.0,1371262389222.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,90.543.029.190,71.732.833.698,90543029190.0,71732833698.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,1.991.771.397.246,1.299.529.555.524,1991771397246.0,1299529555524.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,174.818.511,-,174818511.0,
Chi phí,Chi phí,Chi phí,1.079.663.794.917,699.535.375.530,1079663794917.0,699535375530.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,851.593.189.707,549.536.830.531,851593189707.0,549536830531.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,421.695.164.104,385.203.448.371,421695164104.0,385203448371.0
"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",6.848.914.811,10.699.349.611,6848914811.0,10699349611.0
Chi phí khấu hao tài sản cố định phân bổ,Chi phí khấu hao tài sản cố định phân bổ,Chi phí khấu hao tài sản cố định phân bổ,22.542.848.238,7.226.488.611,22542848238.0,7226488611.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",2.098.088.991,3.128.146.345,2098088991.0,3128146345.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,263.038.141.790,69.961.418.894,263038141790.0,69961418894.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",15.720.747.908,11.782.148.025,15720747908.0,11782148025.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,31.456.871.966,7.558.198.687,31456871966.0,7558198687.0
Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,30.545.894.648,5.724.727.984,30545894648.0,5724727984.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,57.646.517.251,48.252.904.003,57646517251.0,48252904003.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,228.070.605.210,149.998.544.999,228070605210.0,149998544999.0
Chênh lệch doanh thu - chi phí,Chênh lệch doanh thu - chi phí,Chênh lệch doanh thu - chi phí,912.282.420.840,599.994.179.994,912282420840.0,599994179994.0
Các thông tin liên quan khác :,Các thông tin liên quan khác :,Các thông tin liên quan khác :,Các thông tin liên quan khác :,Các thông tin liên quan khác :,,
Tài sản cố định tăng trong năm/kỳ,Các thông tin liên quan khác : > Tài sản cố định tăng trong năm/kỳ,Tài sản cố định tăng trong năm/kỳ,709.649.937.864,267.128.493.120,709649937864.0,267128493120.0
"Hao mòn tài sản cố định - số liệu tạm tính, trong đó:","Các thông tin liên quan khác : > Hao mòn tài sản cố định - số liệu tạm tính, trong đó:","Hao mòn tài sản cố định - số liệu tạm tính, trong đó:",769.340.562.794,581.642.756.282,769340562794.0,581642756282.0
"4 năm 2016, tính hao mòn theo thời gian tối thiểu trong khung quy định tại Thông tư 45/2013/TT-BTC","4 năm 2016, tính hao mòn theo thời gian tối thiểu trong khung quy định tại Thông tư 45/2013/TT-BTC","4 năm 2016, tính hao mòn theo thời gian tối thiểu trong khung quy định tại Thông tư 45/2013/TT-BTC",,,,
"- Đối với tài sản hình thành từ ngày 01 tháng 4 năm 2016, tính hao mòn theo thời gian trung bình trong khung quy định tại Thông tư 45/2013/TT-Các dự án đầu tư (xây dựng cơ bản) tài sản nhà nước Tổng Công ty đã ứng tiền","4 năm 2016, tính hao mòn theo thời gian tối thiểu trong khung quy định tại Thông tư 45/2013/TT-BTC > - Đối với tài sản hình thành từ ngày 01 tháng 4 năm 2016, tính hao mòn theo thời gian trung bình trong khung quy định tại Thông tư 45/2013/TT-Các dự án đầu tư (xây dựng cơ bản) tài sản nhà nước Tổng Công ty đã ứng tiền","- Đối với tài sản hình thành từ ngày 01 tháng 4 năm 2016, tính hao mòn theo thời gian trung bình trong khung quy định tại Thông tư 45/2013/TT-Các dự án đầu tư (xây dựng cơ bản) tài sản nhà nước Tổng Công ty đã ứng tiền",330.745.210.172,529.328.209.305,330745210172.0,529328209305.0
