row_label_raw,row_label_full,col_0,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,8.869.780.355.916,8.872.307.142.106,2.526.786.190,1.0,8869780355916.0,8872307142106.0,2526786190.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,8.841.189.682.939,8.843.716.469.129,2.526.786.190,10.0,8841189682939.0,8843716469129.0,2526786190.0
Giá vốn bán hàng và cung cấp dịch vụ,Giá vốn bán hàng và cung cấp dịch vụ,Giá vốn bán hàng và cung cấp dịch vụ,11,5.779.465.943.851,5.642.553.745.644,(136.912.198.207),11.0,5779465943851.0,5642553745644.0,-136912198207.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,20,3.061.723.739.088,3.201.162.723.485,139.438.984.397,20.0,3061723739088.0,3201162723485.0,139438984397.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,988.996.587.939,1.000.979.724.564,11.983.136.625,21.0,988996587939.0,1000979724564.0,11983136625.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,91.313.628.508,87.543.245.608,(3.770.382.900),22.0,91313628508.0,87543245608.0,-3770382900.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,670.948.061.842,677.206.242.278,6.258.180.436,26.0,670948061842.0,677206242278.0,6258180436.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,3.109.508.126.745,3.258.442.450.231,148.934.323.486,30.0,3109508126745.0,3258442450231.0,148934323486.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,4.990.618.179,5.639.678.092,649.059.913,31.0,4990618179.0,5639678092.0,649059913.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,1.561.728.454,2.210.788.367,649.059.913,40.0,1561728454.0,2210788367.0,649059913.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,50,3.111.069.855.199,3.260.653.238.598,149.583.383.399,50.0,3111069855199.0,3260653238598.0,149583383399.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,550.364.132.754,580.539.829.664,30.175.696.910,51.0,550364132754.0,580539829664.0,30175696910.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,62.522.742.097,61.970.332.370,(552.409.727),52.0,62522742097.0,61970332370.0,-552409727.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,60,2.498.182.980.348,2.618.143.076.564,119.960.096.216,60.0,2498182980348.0,2618143076564.0,119960096216.0
