row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,491.474.399.700,360.389.011.966,491474399700.0,360389011966.0
"Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng",9.431.121.823,45.911.636.370,9431121823.0,45911636370.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,53.006.738.341,46.597.779.919,53006738341.0,46597779919.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",13.578.883.813,50.800.484.097,13578883813.0,50800484097.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,7.894.044.849,5.071.471.248,7894044849.0,5071471248.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",14.770.563.865,8.649.137.217,14770563865.0,8649137217.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,10.383.981.511,16.808.732.207,10383981511.0,16808732207.0
Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,110.792.048.540,26.374.224.356,110792048540.0,26374224356.0
Công tác phí,Công tác phí,Công tác phí,21.414.866.966,15.801.297.312,21414866966.0,15801297312.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,53.854.817.248,69.926.482.077,53854817248.0,69926482077.0
(Hoàn nhập)/Chi phí dự phòng nợ phải thu khó đòi,(Hoàn nhập)/Chi phí dự phòng nợ phải thu khó đòi,(Hoàn nhập)/Chi phí dự phòng nợ phải thu khó đòi,(843.819.479),30.875.985.509,-843819479.0,30875985509.0
,,,785.757.647.177,677.206.242.278,785757647177.0,677206242278.0
