row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,26.259.213.007.153,21.068.823.593.552,100.0,,26259213007153.0,21068823593552.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,1.307.839.261.177,2.674.793.260.611,110.0,5.0,1307839261177.0,2674793260611.0
1. Tiền,1. Tiền,1. Tiền,111,,907.839.261.177,2.674.793.260.611,111.0,,907839261177.0,2674793260611.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,400.000.000.000,-,112.0,,400000000000.0,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,17.493.000.000.000,13.508.000.000.000,120.0,,17493000000000.0,13508000000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,17.493.000.000.000,13.508.000.000.000,123.0,6.0,17493000000000.0,13508000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,6.955.664.440.518,4.206.665.372.612,130.0,,6955664440518.0,4206665372612.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,2.042.889.342.472,1.631.245.271.255,131.0,7.0,2042889342472.0,1631245271255.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,1.373.464.764.854,892.061.510.076,132.0,8.0,1373464764854.0,892061510076.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,3.569.342.499.222,1.714.234.576.790,136.0,9.0,3569342499222.0,1714234576790.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(30.032.166.030),(30.875.985.509),137.0,10.0,-30032166030.0,-30875985509.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,398.857.349.613,426.396.172.353,140.0,11.0,398857349613.0,426396172353.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,398.857.349.613,426.396.172.353,141.0,,398857349613.0,426396172353.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,103.851.955.845,252.968.787.976,150.0,,103851955845.0,252968787976.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,16.965.167.843,16.435.848.139,151.0,12.0,16965167843.0,16435848139.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,53.728.777.815,219.523.173.437,152.0,,53728777815.0,219523173437.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,19,33.158.010.187,17.009.766.400,153.0,19.0,33158010187.0,17009766400.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,22.501.704.748.131,24.737.699.748.889,200.0,,22501704748131.0,24737699748889.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,352.941.856.676,264.109.384.777,210.0,,352941856676.0,264109384777.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,9,352.941.856.676,264.109.384.777,216.0,9.0,352941856676.0,264109384777.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,18.936.237.846.799,21.137.230.967.860,220.0,,18936237846799.0,21137230967860.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,18.934.891.770.444,21.133.589.768.728,221.0,13.0,18934891770444.0,21133589768728.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,36.695.450.217.072,34.738.176.005.487,222.0,,36695450217072.0,34738176005487.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(17.760.558.446.628),(13.604.586.236.759),223.0,,-17760558446628.0,-13604586236759.0
