row_label_raw,row_label_full,col_0,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,1.622.100.827.912,1.631.245.271.255,9.144.443.343,131.0,1622100827912.0,1631245271255.0,9144443343.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,903.175.790.057,892.061.510.076,(11.114.279.981),132.0,903175790057.0,892061510076.0,-11114279981.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,1.514.571.123.563,1.714.234.576.790,199.663.453.227,136.0,1514571123563.0,1714234576790.0,199663453227.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,104.087.612.152,17.009.766.400,(87.077.845.752),153.0,104087612152.0,17009766400.0,-87077845752.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,6.080.000.000,264.109.384.777,258.029.384.777,216.0,6080000000.0,264109384777.0,258029384777.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,21.415.803.855.114,21.133.589.768.728,(282.214.086.386),221.0,21415803855114.0,21133589768728.0,-282214086386.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,35.385.006.229.478,34.738.176.005.487,(646.830.223.991),222.0,35385006229478.0,34738176005487.0,-646830223991.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(13.969.202.374.364),(13.604.586.236.759),364.616.137.605,223.0,-13969202374364.0,-13604586236759.0,364616137605.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,1.682.973.000.000,1.683.833.743.327,860.743.327,251.0,1682973000000.0,1683833743327.0,860743327.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,642.992.463.558,616.410.897.541,(26.581.566.017),252.0,642992463558.0,616410897541.0,-26581566017.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,199.007.763.662,198.289.232.759,(718.530.903),253.0,199007763662.0,198289232759.0,-718530903.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,57.498.919.072,70.860.399.281,13.361.480.209,261.0,57498919072.0,70860399281.0,13361480209.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,66.964.220.204,67.516.629.931,552.409.727,262.0,66964220204.0,67516629931.0,552409727.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,1.021.692.186.338,1.022.680.572.601,988.386.263,311.0,1021692186338.0,1022680572601.0,988386263.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,186.475.509.377,360.942.889.294,174.467.379.917,313.0,186475509377.0,360942889294.0,174467379917.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,1.287.018.127.664,1.269.253.333.840,(17.764.793.824),315.0,1287018127664.0,1269253333840.0,-17764793824.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,3.329.508.318.640,3.125.762.855.639,(203.745.463.001),319.0,3329508318640.0,3125762855639.0,-203745463001.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,1.759.663.097.112,1.879.623.193.328,119.960.096.216,421.0,1759663097112.0,1879623193328.0,119960096216.0
