row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Quốc tế Đà Nẵng,b. Dài hạn > Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Quốc tế Đà Nẵng,Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Quốc tế Đà Nẵng,22.977.317.845,31.649.156.804,22977317845.0,31649156804.0
Chi phí công cụ dụng cụ,b. Dài hạn > Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,15.447.958.324,10.971.424.649,15447958324.0,10971424649.0
Tiền thuê sân đậu máy bay,b. Dài hạn > Tiền thuê sân đậu máy bay,Tiền thuê sân đậu máy bay,14.696.000.000,22.044.000.000,14696000000.0,22044000000.0
Tiền thuê đất và thuế đất,b. Dài hạn > Tiền thuê đất và thuế đất,Tiền thuê đất và thuế đất,2.247.530.000,2.247.530.000,2247530000.0,2247530000.0
"Thông tin liên lạc, tần số vô tuyến điện","b. Dài hạn > Thông tin liên lạc, tần số vô tuyến điện","Thông tin liên lạc, tần số vô tuyến điện",683.055.903,607.075.426,683055903.0,607075426.0
Chi phí trang trí quầy kinh doanh tại nhà ga,b. Dài hạn > Chi phí trang trí quầy kinh doanh tại nhà ga,Chi phí trang trí quầy kinh doanh tại nhà ga,551.720.013,-,551720013.0,
Cảng Hàng không Quốc tế Đà Nẵng,Cảng Hàng không Quốc tế Đà Nẵng,Cảng Hàng không Quốc tế Đà Nẵng,Cảng Hàng không Quốc tế Đà Nẵng,Cảng Hàng không Quốc tế Đà Nẵng,,
Chi phí bảo hiểm,Cảng Hàng không Quốc tế Đà Nẵng > Chi phí bảo hiểm,Chi phí bảo hiểm,295.700.264,74.936.824,295700264.0,74936824.0
Phần mềm Kaspersky,Cảng Hàng không Quốc tế Đà Nẵng > Phần mềm Kaspersky,Phần mềm Kaspersky,209.059.710,665.332.668,209059710.0,665332668.0
Chi phí kiểm định,Cảng Hàng không Quốc tế Đà Nẵng > Chi phí kiểm định,Chi phí kiểm định,208.176.242,228.217.650,208176242.0,228217650.0
Chi phí nhiên liệu xuất dùng,Cảng Hàng không Quốc tế Đà Nẵng > Chi phí nhiên liệu xuất dùng,Chi phí nhiên liệu xuất dùng,-,1.725.766.432,,1725766432.0
Các khoản khác,Cảng Hàng không Quốc tế Đà Nẵng > Các khoản khác,Các khoản khác,512.821.721,646.958.828,512821721.0,646958828.0
,,,57.829.340.022,70.860.399.281,57829340022.0,70860399281.0
