row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã Thuyết > số,Mã Thuyết > minh,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__CHỈ TIÊU_1,numeric__Mã Thuyết > số,numeric__Mã Thuyết > minh,numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,13.718.428.306.763,8.872.307.142.106,,1.0,26.0,13718428306763.0,8872307142106.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,43.196.600.601,28.590.672.977,,2.0,26.0,43196600601.0,28590672977.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,26,13.675.231.706.162,8.843.716.469.129,,10.0,26.0,13675231706162.0,8843716469129.0
4.,4.,4.,Giá vốn hàng bán và cung cấp dịch vụ,11,27,8.121.568.660.422,5.642.553.745.644,,11.0,27.0,8121568660422.0,5642553745644.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,5.553.663.045.740,3.201.162.723.485,,20.0,,5553663045740.0,3201162723485.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,1.278.162.978.469,1.000.979.724.564,,21.0,29.0,1278162978469.0,1000979724564.0
7.,7.,7.,Chi phí tài chính,22,30,596.386.421.080,87.543.245.608,,22.0,30.0,596386421080.0,87543245608.0
,,,- Trong đó: Chi phí lãi vay,23,,96.059.178.215,75.244.790.879,,23.0,,96059178215.0,75244790879.0
8.,8.,8.,Chi phí bán hàng,25,31,254.995.295.007,178.950.509.932,,25.0,31.0,254995295007.0,178950509932.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,32,785.757.647.177,677.206.242.278,,26.0,32.0,785757647177.0,677206242278.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,5.194.686.660.945,3.258.442.450.231,,30.0,,5194686660945.0,3258442450231.0
11.,11.,11.,Thu nhập khác,31,33,26.803.963.239,5.639.678.092,,31.0,33.0,26803963239.0,5639678092.0
12.,12.,12.,Chi phí khác,32,34,2.391.651.662,3.428.889.725,,32.0,34.0,2391651662.0,3428889725.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,24.412.311.577,2.210.788.367,,40.0,,24412311577.0,2210788367.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,5.219.098.972.522,3.260.653.238.598,,50.0,,5219098972522.0,3260653238598.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,1.043.367.898.874,580.539.829.664,,51.0,35.0,1043367898874.0,580539829664.0
16.,16.,16.,(Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,35,(18.234.486.772),61.970.332.370,,52.0,35.0,-18234486772.0,61970332370.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,4.193.965.560.420,2.618.143.076.564,,60.0,,4193965560420.0,2618143076564.0
