row_label_raw,row_label_full,NỘI DUNG,TRANG,numeric__TRANG
BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,1 - 2,
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,3 - 4,
BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP,5 - 6,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP > BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH TỔNG HỢP,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH TỔNG HỢP,7,7.0
BÁO CÁO LƯU CHUYÊN TIỀN TỆ TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP > BÁO CÁO LƯU CHUYÊN TIỀN TỆ TỔNG HỢP,BÁO CÁO LƯU CHUYÊN TIỀN TỆ TỔNG HỢP,8,8.0
THUYÊT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP,THUYÊT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP,THUYÊT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP,9 - 61,
