row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Từ 01/4/2016 đến 31/12/2016 (Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Từ 01/4/2016 đến 31/12/2016 (Trình bày lại)
I.,I.,I.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,5.219.098.972.522,3.260.653.238.598,,1.0,5219098972522.0,3260653238598.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định,02,4.156.318.017.690,3.230.888.201.650,,2.0,4156318017690.0,3230888201650.0
,,,Các khoản dự phòng,03,(843.819.479),32.175.985.509,,3.0,-843819479.0,32175985509.0
,,,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,489.588.948.149,(248.100.747.890),,4.0,489588948149.0,-248100747890.0
,,,Lãi từ hoạt động đầu tư,05,(1.278.733.180.181),(729.155.768.835),,5.0,-1278733180181.0,-729155768835.0
,,,Chi phí lãi vay,06,96.059.178.215,75.244.790.879,,6.0,96059178215.0,75244790879.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,8.681.488.116.916,5.621.705.699.911,,8.0,8681488116916.0,5621705699911.0
,,,Thay đổi các khoản phải thu,09,(3.011.542.718.848),(473.991.453.437),,9.0,-3011542718848.0,-473991453437.0
,,,Thay đổi hàng tồn kho,10,31.083.391.489,(49.410.789.783),,10.0,31083391489.0,-49410789783.0
,,,Thay đổi các khoản phải trả,11,1.938.673.576.321,2.042.068.221.371,,11.0,1938673576321.0,2042068221371.0
,,,Thay đổi chi phí trả trước,12,8.439.867.895,81.319.458.302,,12.0,8439867895.0,81319458302.0
,,,Tiền lãi vay đã trả,14,(95.306.541.848),(57.308.659.352),,14.0,-95306541848.0,-57308659352.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(1.306.185.984.483),(1.269.355.923.181),,15.0,-1306185984483.0,-1269355923181.0
,,,Tiền thu khác từ hoạt động kinh doanh,16,-,676.948.516,,16.0,,676948516.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(2.047.682.329.355),(504.876.869.520),,17.0,-2047682329355.0,-504876869520.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,4.198.967.378.087,5.390.826.632.827,,20.0,4198967378087.0,5390826632827.0
