row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi sổ VND,Số cuối năm > Dự phòng VND,Số cuối năm > Tỉ lệ sở hữu,Số đầu năm (Trình bày lại) > Giá trị ghi sổ VND,Số đầu năm (Trình bày lại) > Dự phòng VND,Số đầu năm (Trình bày lại) > Tỉ lệ sở hữu,numeric__Số cuối năm > Giá trị ghi sổ VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Tỉ lệ sở hữu,numeric__Số đầu năm (Trình bày lại) > Giá trị ghi sổ VND,numeric__Số đầu năm (Trình bày lại) > Dự phòng VND,numeric__Số đầu năm (Trình bày lại) > Tỉ lệ sở hữu
a. Đầu tư vào Công ty con,a. Đầu tư vào Công ty con,a. Đầu tư vào Công ty con,60.000.000.000,-,,1.683.833.743.327,-,,60000000000.0,,,1683833743327.0,,
Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài Công ty Cổ Phần Dịch Vụ Hàng không Sân Bay Tân Sơn Nhất (i)(ii),Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài Công ty Cổ Phần Dịch Vụ Hàng không Sân Bay Tân Sơn Nhất (i)(ii),Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài Công ty Cổ Phần Dịch Vụ Hàng không Sân Bay Tân Sơn Nhất (i)(ii),60.000.000.000,-,"60,00%",60.860.743.327,-,"60,00%",60000000000.0,,0.6,60860743327.0,,0.6
Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài Công ty Cổ Phần Dịch Vụ Hàng không Sân Bay Tân Sơn Nhất (i)(ii),Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài Công ty Cổ Phần Dịch Vụ Hàng không Sân Bay Tân Sơn Nhất (i)(ii),Công ty Cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài Công ty Cổ Phần Dịch Vụ Hàng không Sân Bay Tân Sơn Nhất (i)(ii),-,-,,1.622.973.000.000,-,"51,00%",,,,1622973000000.0,,0.51
"b. Đầu tư vào Công ty liên doanh, liên kết","b. Đầu tư vào Công ty liên doanh, liên kết","b. Đầu tư vào Công ty liên doanh, liên kết",2.189.744.434.914,-,,616.410.897.541,-,,2189744434914.0,,,616410897541.0,,
Công ty Cổ Phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất (i)(ii),Công ty Cổ Phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất (i)(ii),Công ty Cổ Phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất (i)(ii),1.585.201.640.000,-,"49,07%",-,-,,1585201640000.0,,0.4907,,,
Công ty Cổ phần phục vụ mặt đất Sài Gòn (i)(iii),Công ty Cổ phần phục vụ mặt đất Sài Gòn (i)(iii),Công ty Cổ phần phục vụ mặt đất Sài Gòn (i)(iii),486.859.102.200,-,"48,01%",486.859.102.200,-,"48,00%",486859102200.0,,0.48009999999999997,486859102200.0,,0.48
Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Căng Hàng không Miền Nam (iv),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Căng Hàng không Miền Nam (iv),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Căng Hàng không Miền Nam (iv),15.300.000.000,-,"51,00%",17.839.600.705,-,"51,00%",15300000000.0,,0.51,17839600705.0,,0.51
Công ty Cổ Phần Thương mại Hàng không Miền Nam,Công ty Cổ Phần Thương mại Hàng không Miền Nam,Công ty Cổ Phần Thương mại Hàng không Miền Nam,7.532.433.978,-,"29,53%",7.532.433.978,-,"29,53%",7532433978.0,,0.2953,7532433978.0,,0.2953
Công ty Cổ Phần Vận Tài Hàng không Miền Nam,Công ty Cổ Phần Vận Tài Hàng không Miền Nam,Công ty Cổ Phần Vận Tài Hàng không Miền Nam,14.851.258.736,-,"30,00%",14.851.258.736,-,"30,00%",14851258736.0,,0.3,14851258736.0,,0.3
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,30.000.000.000,-,"20,00%",31.404.612.698,-,"20,00%",30000000000.0,,0.2,31404612698.0,,0.2
Công ty Cổ Phần Dịch Vụ Hàng hóa Hàng không Việt Nam,Công ty Cổ Phần Dịch Vụ Hàng hóa Hàng không Việt Nam,Công ty Cổ Phần Dịch Vụ Hàng hóa Hàng không Việt Nam,50.000.000.000,-,"20,00%",57.923.889.224,-,"20,00%",50000000000.0,,0.2,57923889224.0,,0.2
c. Đầu tư vào đơn vị khác,c. Đầu tư vào đơn vị khác,c. Đầu tư vào đơn vị khác,184.800.000.000,1.300.000.000,,198.289.232.759,1.300.000.000,,184800000000.0,1300000000.0,,198289232759.0,1300000000.0,
Công ty Cổ Phần Dịch vụ Hàng hóa Sài Gòn (v),Công ty Cổ Phần Dịch vụ Hàng hóa Sài Gòn (v),Công ty Cổ Phần Dịch vụ Hàng hóa Sài Gòn (v),75.000.000.000,-,"13,12%",83.489.232.759,-,"14,05%",75000000000.0,,0.13119999999999998,83489232759.0,,0.1405
Công ty Cổ Phần Đầu tư Khai thác Nhà ga Quốc Tế Đà Nẵng,Công ty Cổ Phần Đầu tư Khai thác Nhà ga Quốc Tế Đà Nẵng,Công ty Cổ Phần Đầu tư Khai thác Nhà ga Quốc Tế Đà Nẵng,30.000.000.000,-,"10,00%",30.000.000.000,-,"10,00%",30000000000.0,,0.1,30000000000.0,,0.1
Công ty Cổ phần Đầu tư TCP,Công ty Cổ phần Đầu tư TCP,Công ty Cổ phần Đầu tư TCP,19.800.000.000,1.300.000.000,"18,00%",19.800.000.000,1.300.000.000,"18,00%",19800000000.0,1300000000.0,0.18,19800000000.0,1300000000.0,0.18
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,60.000.000.000,-,"10,00%",60.000.000.000,-,"10,00%",60000000000.0,,0.1,60000000000.0,,0.1
Công ty Cổ Phần Dịch vụ Hàng không Việt Xuân Mới (vi),Công ty Cổ Phần Dịch vụ Hàng không Việt Xuân Mới (vi),Công ty Cổ Phần Dịch vụ Hàng không Việt Xuân Mới (vi),-,-,"0,00%",5.000.000.000,-,"10,00%",,,0.0,5000000000.0,,0.1
,,,2.434.544.434.914,1.300.000.000,,2.498.533.873.627,1.300.000.000,,2434544434914.0,1300000000.0,,2498533873627.0,1300000000.0,
