row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,21.771.732.360.000,14.602.790.587,-,-,21.786.335.150.587,21771732360000.0,14602790587.0,,,21786335150587.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,2.618.143.076.564,2.618.143.076.564,,,,2618143076564.0,2618143076564.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,450.015.282.490,(450.015.282.490),-,,,450015282490.0,-450015282490.0,
Trích quỹ thường ban điều hành,Trích quỹ thường ban điều hành,Trích quỹ thường ban điều hành,-,-,-,(2.119.162.500),(2.119.162.500),,,,-2119162500.0,-2119162500.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(286.382.296.200),(286.382.296.200),,,,-286382296200.0,-286382296200.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(3.142.046),(3.142.046),,,,-3142046.0,-3142046.0
Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),21.771.732.360.000,14.602.790.587,450.015.282.490,1.879.623.193.328,24.115.973.626.405,21771732360000.0,14602790587.0,450015282490.0,1879623193328.0,24115973626405.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,21.771.732.360.000,14.602.790.587,450.015.282.490,1.879.623.193.328,24.115.973.626.405,21771732360000.0,14602790587.0,450015282490.0,1879623193328.0,24115973626405.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,4.193.965.560.420,4.193.965.560.420,,,,4193965560420.0,4193965560420.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,251.996.690.491,(251.996.690.491),-,,,251996690491.0,-251996690491.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(1.306.303.941.600),(1.306.303.941.600),,,,-1306303941600.0,-1306303941600.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,21.771.732.360.000,14.602.790.587,702.011.972.981,4.515.288.121.657,27.003.635.245.225,21771732360000.0,14602790587.0,702011972981.0,4515288121657.0,27003635245225.0
