row_label_raw,row_label_full,Giá trị nguyên giá tạm tăng tài sản cố định > Giá trị tạm tăng sửa chữa lớn tài sản,Số cuối nămVND > 707.282.096.908 > 82.934.812.588,Số đầu năm(Trình bày lại)VND > 732.882.529.412 > 44.160.831.514,numeric__Số cuối nămVND > 707.282.096.908 > 82.934.812.588,numeric__Số đầu năm(Trình bày lại)VND > 732.882.529.412 > 44.160.831.514
"Tiền thuế đất, thuê đất","Tiền thuế đất, thuê đất","Tiền thuế đất, thuê đất",77.428.404.047,438.891.076.975,77428404047.0,438891076975.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,29.461.767.894,28.709.131.527,29461767894.0,28709131527.0
Chi phí bay hiệu chuẩn,Chi phí bay hiệu chuẩn,Chi phí bay hiệu chuẩn,11.064.228.840,9.849.721.871,11064228840.0,9849721871.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,8.110.869.184,7.179.838.493,8110869184.0,7179838493.0
Tiền nước sinh hoạt,Tiền nước sinh hoạt,Tiền nước sinh hoạt,1.572.048.590,1.916.295.624,1572048590.0,1916295624.0
Tiền điện,Tiền điện,Tiền điện,1.501.931.834,1.362.574.677,1501931834.0,1362574677.0
Chi phí bồi dưỡng độc hại,Chi phí bồi dưỡng độc hại,Chi phí bồi dưỡng độc hại,841.973.796,177.022.000,841973796.0,177022000.0
Chi phí đường truyền tín hiệu,Chi phí đường truyền tín hiệu,Chi phí đường truyền tín hiệu,749.700.000,907.010.890,749700000.0,907010890.0
"Cước điện thoại, thông tin liên lạc","Cước điện thoại, thông tin liên lạc","Cước điện thoại, thông tin liên lạc",594.140.564,836.795.968,594140564.0,836795968.0
Chi phí khám sức khỏe,Chi phí khám sức khỏe,Chi phí khám sức khỏe,379.030.500,256.765.500,379030500.0,256765500.0
Chi phí khác,Chi phí khác,Chi phí khác,1.668.540.918,2.123.739.389,1668540918.0,2123739389.0
,,,923.589.545.663,1.269.253.333.840,923589545663.0,1269253333840.0
