row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
1. Doanh thu dịch vụ,1. Doanh thu dịch vụ,1. Doanh thu dịch vụ,1. Doanh thu dịch vụ,1. Doanh thu dịch vụ,,
a. Doanh thu dịch vụ hàng không:,a. Doanh thu dịch vụ hàng không:,a. Doanh thu dịch vụ hàng không:,a. Doanh thu dịch vụ hàng không:,a. Doanh thu dịch vụ hàng không:,,
Doanh thu phục vụ mặt đất cơ bản/ trọn gói,a. Doanh thu dịch vụ hàng không: > Doanh thu phục vụ mặt đất cơ bản/ trọn gói,Doanh thu phục vụ mặt đất cơ bản/ trọn gói,287.472.582.644,238.998.467.211,287472582644.0,238998467211.0
Doanh thu phục vụ hành khách,a. Doanh thu dịch vụ hàng không: > Doanh thu phục vụ hành khách,Doanh thu phục vụ hành khách,7.912.759.326.961,5.080.246.456.992,7912759326961.0,5080246456992.0
"Doanh thu soi chiếu an ninh hành khách,hành lý","a. Doanh thu dịch vụ hàng không: > Doanh thu soi chiếu an ninh hành khách,hành lý","Doanh thu soi chiếu an ninh hành khách,hành lý",777.532.704.780,469.289.177.401,777532704780.0,469289177401.0
Doanh thu dịch vụ hàng không khác,a. Doanh thu dịch vụ hàng không: > Doanh thu dịch vụ hàng không khác,Doanh thu dịch vụ hàng không khác,1.826.358.489.228,1.211.006.921.673,1826358489228.0,1211006921673.0
,,,10.804.123.103.613,6.999.541.023.277,10804123103613.0,6999541023277.0
b. Doanh thu phi hàng không:,b. Doanh thu phi hàng không:,b. Doanh thu phi hàng không:,b. Doanh thu phi hàng không:,b. Doanh thu phi hàng không:,,
Doanh thu cho thuê mặt bằng,b. Doanh thu phi hàng không: > Doanh thu cho thuê mặt bằng,Doanh thu cho thuê mặt bằng,594.233.944.244,316.201.765.388,594233944244.0,316201765388.0
Doanh thu cho thuê quảng cáo,b. Doanh thu phi hàng không: > Doanh thu cho thuê quảng cáo,Doanh thu cho thuê quảng cáo,211.442.948.228,124.560.634.806,211442948228.0,124560634806.0
Doanh thu dịch vụ bến bãi,b. Doanh thu phi hàng không: > Doanh thu dịch vụ bến bãi,Doanh thu dịch vụ bến bãi,472.204.790.649,311.492.828.178,472204790649.0,311492828178.0
Doanh thu dịch vụ cung cấp tiện ích,b. Doanh thu phi hàng không: > Doanh thu dịch vụ cung cấp tiện ích,Doanh thu dịch vụ cung cấp tiện ích,91.078.076.394,60.237.296.186,91078076394.0,60237296186.0
"Doanh thu phục vụ khách VIP, F, C,...","b. Doanh thu phi hàng không: > Doanh thu phục vụ khách VIP, F, C,...","Doanh thu phục vụ khách VIP, F, C,...",100.539.033.192,66.496.051.952,100539033192.0,66496051952.0
Doanh thu dịch vụ phi hàng không khác,b. Doanh thu phi hàng không: > Doanh thu dịch vụ phi hàng không khác,Doanh thu dịch vụ phi hàng không khác,138.233.159.715,92.650.352.151,138233159715.0,92650352151.0
,,,1.607.731.952.422,971.638.928.661,1607731952422.0,971638928661.0
2. Doanh thu bán hàng,b. Doanh thu phi hàng không: > 2. Doanh thu bán hàng,2. Doanh thu bán hàng,1.306.573.250.728,901.127.190.168,1306573250728.0,901127190168.0
,,,13.718.428.306.763,8.872.307.142.106,13718428306763.0,8872307142106.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,(43.196.600.601),(28.590.672.977),-43196600601.0,-28590672977.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,
Doanh thu cung cấp dịch vụ,Doanh thu thuần > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,12.368.658.455.434,7.942.589.278.961,12368658455434.0,7942589278961.0
Doanh thu bán hàng,Doanh thu thuần > Doanh thu bán hàng,Doanh thu bán hàng,1.306.573.250.728,901.127.190.168,1306573250728.0,901127190168.0
,,,13.675.231.706.162,8.843.716.469.129,13675231706162.0,8843716469129.0
