row_label_raw,row_label_full,col_0,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,3.111.069.855.199,3.260.653.238.598,149.583.383.399,1.0,3111069855199.0,3260653238598.0,149583383399.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,3.377.659.475.811,3.230.888.201.650,(146.771.274.161),2.0,3377659475811.0,3230888201650.0,-146771274161.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,5.618.893.590.673,5.629.751.398.130,10.857.807.457,8.0,5618893590673.0,5629751398130.0,10857807457.0
Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(342.198.921.184),(473.991.453.437),(131.792.532.253),9.0,-342198921184.0,-473991453437.0,-131792532253.0
Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,11,1.933.061.155.904,2.042.068.221.371,109.007.065.467,11.0,1933061155904.0,2042068221371.0,109007065467.0
Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,101.925.767.706,81.319.458.302,(20.606.309.404),12.0,101925767706.0,81319458302.0,-20606309404.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,5.431.406.299.779,5.390.826.632.827,(40.579.666.952),20.0,5431406299779.0,5390826632827.0,-40579666952.0
"Tiền chi mua sắm, xây dựng tài sản cố định","Tiền chi mua sắm, xây dựng tài sản cố định","Tiền chi mua sắm, xây dựng tài sản cố định",21,(2.064.255.504.926),(2.050.115.191.567),14.140.313.359,21.0,-2064255504926.0,-2050115191567.0,14140313359.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(56.940.000.000),(30.500.646.407),26.439.353.593,25.0,-56940000000.0,-30500646407.0,26439353593.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(2.512.700.721.535),(2.472.121.054.583),40.579.666.952,30.0,-2512700721535.0,-2472121054583.0,40579666952.0
