row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Phải thu Nhà nước chi phí, thuế thu nhập doanh nghiệp trả hộ liên quan đến hoạt động khu bay (i)","a. Ngắn hạn > Phải thu Nhà nước chi phí, thuế thu nhập doanh nghiệp trả hộ liên quan đến hoạt động khu bay (i)","Phải thu Nhà nước chi phí, thuế thu nhập doanh nghiệp trả hộ liên quan đến hoạt động khu bay (i)",1.779.199.170.447,699.535.375.530,1779199170447.0,699535375530.0
Phải thu Nhà nước liên quan tài sản khu bay (i),a. Ngắn hạn > Phải thu Nhà nước liên quan tài sản khu bay (i),Phải thu Nhà nước liên quan tài sản khu bay (i),976.778.430.984,326.717.251.366,976778430984.0,326717251366.0
Phải thu lãi tiền gửi có kỳ hạn,a. Ngắn hạn > Phải thu lãi tiền gửi có kỳ hạn,Phải thu lãi tiền gửi có kỳ hạn,550.696.805.561,390.269.777.790,550696805561.0,390269777790.0
Bàn giao tài sản khí tượng cho Tổng Công ty Quản lý Bay,a. Ngắn hạn > Bàn giao tài sản khí tượng cho Tổng Công ty Quản lý Bay,Bàn giao tài sản khí tượng cho Tổng Công ty Quản lý Bay,50.627.055.296,-,50627055296.0,
Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,a. Ngắn hạn > Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,-,194.172.915.311,,194172915311.0
Phải thu về cổ phần hóa (ii),a. Ngắn hạn > Phải thu về cổ phần hóa (ii),Phải thu về cổ phần hóa (ii),19.570.715.787,15.445.855.839,19570715787.0,15445855839.0
Phải thu khác,a. Ngắn hạn > Phải thu khác,Phải thu khác,192.470.321.147,88.093.400.954,192470321147.0,88093400954.0
,,,3.569.342.499.222,1.714.234.576.790,3569342499222.0,1714234576790.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Trung tâm phát triển quỹ đất huyện Sóc Sơn,b. Dài hạn > Trung tâm phát triển quỹ đất huyện Sóc Sơn,Trung tâm phát triển quỹ đất huyện Sóc Sơn,104.921.205.123,239.921.205.123,104921205123.0,239921205123.0
Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,b. Dài hạn > Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,194.172.915.311,-,194172915311.0,
Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,b. Dài hạn > Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,37.883.556.588,-,37883556588.0,
Phải thu của Sở Xây dựng tỉnh Gia Lai,b. Dài hạn > Phải thu của Sở Xây dựng tỉnh Gia Lai,Phải thu của Sở Xây dựng tỉnh Gia Lai,9.008.179.654,18.108.179.654,9008179654.0,18108179654.0
"Ký cược, ký quỹ","b. Dài hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",6.956.000.000,6.080.000.000,6956000000.0,6080000000.0
,,,352.941.856.676,264.109.384.777,352941856676.0,264109384777.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
c. Phải thu bên liên quan(Thuyết minh số 37),Trong đó: > c. Phải thu bên liên quan(Thuyết minh số 37),c. Phải thu bên liên quan(Thuyết minh số 37),1.500.000.000,21.325.024.125,1500000000.0,21325024125.0
