row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộp/thu trong năm,Số đã nộp/thu trong năm,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộp/thu trong năm,numeric__Số đã nộp/thu trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.067.997.246,227.060.750.684,231.531.285.250,11.597.462.680,16067997246.0,227060750684.0,231531285250.0,11597462680.0
Thuế môn bài,Thuế và các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,25.000.000,25.000.000,-,,25000000.0,25000000.0,
"Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,826.458.499,826.458.499,-,,826458499.0,826458499.0,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,236.738.636.398,1.271.087.977.719,1.306.185.984.483,201.640.629.634,236738636398.0,1271087977719.0,1306185984483.0,201640629634.0
Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,39.719.995.525,174.351.303.495,213.122.225.042,949.073.978,39719995525.0,174351303495.0,213122225042.0,949073978.0
Thuế tài nguyên,Thuế và các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,144.021.537,1.971.356.401,1.954.129.014,161.248.924,144021537.0,1971356401.0,1954129014.0,161248924.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",5.138.573.671,61.460.165.404,44.293.511.334,22.305.227.741,5138573671.0,61460165404.0,44293511334.0,22305227741.0
Thuế nhà thầu,Thuế và các khoản phải nộp > Thuế nhà thầu,Thuế nhà thầu,255.516.820,11.046.079.391,11.067.925.652,233.670.559,255516820.0,11046079391.0,11067925652.0,233670559.0
Lợi nhuận nộp ngân sách,Thuế và các khoản phải nộp > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,62.068.723.516,-,62.068.723.516,-,62068723516.0,,62068723516.0,
Các khoản phải nộp khác,Thuế và các khoản phải nộp > Các khoản phải nộp khác,Các khoản phải nộp khác,809.424.581,481.857.418,1.256.310.935,34.971.064,809424581.0,481857418.0,1256310935.0,34971064.0
,,,360.942.889.294,1.748.310.949.011,1.872.331.553.725,236.922.284.580,360942889294.0,1748310949011.0,1872331553725.0,236922284580.0
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.293.402.638,213.729.817,2.293.402.638,213.729.817,2293402638.0,213729817.0,2293402638.0,213729817.0
Thuế thu nhập cá nhân,Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.420.456.980,16.735.666.785,13.420.456.980,16.735.666.785,13420456980.0,16735666785.0,13420456980.0,16735666785.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.295.906.782,1.031.136.174,1.295.906.782,1.031.136.174,1295906782.0,1031136174.0,1295906782.0,1031136174.0
Thuế nhà thầu,Thuế và các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,-,6.898.881.166,-,6.898.881.166,,6898881166.0,,6898881166.0
Lợi nhuận nộp ngân sách,Thuế và các khoản phải thu > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,-,8.278.596.245,-,8.278.596.245,,8278596245.0,,8278596245.0
,,,17.009.766.400,33.158.010.187,17.009.766.400,33.158.010.187,17009766400.0,33158010187.0,17009766400.0,33158010187.0
