row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí lãi vay,Ngắn hạn > Chi phí lãi vay,Chi phí lãi vay,794.816.138,383.223.801,794816138.0,383223801.0
Chi phí phát hành trái phiếu,Ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,21.414.660,21.414.660,21414660.0,21414660.0
Chi phí hoạt động,Ngắn hạn > Chi phí hoạt động,Chi phí hoạt động,7.230.160,5.579.859,7230160.0,5579859.0
Khác,Ngắn hạn > Khác,Khác,-,142.895.860,,142895860.0
,,,823.460.958,553.114.180,823460958.0,553114180.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay,Dài hạn > Chi phí lãi vay,Chi phí lãi vay,1.139.729.876,1.374.149.901,1139729876.0,1374149901.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.963.190.834,1.927.264.081,1963190834.0,1927264081.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Các bên liên quan (TM số 28.2),Trong đó: > Các bên liên quan (TM số 28.2),Các bên liên quan (TM số 28.2),-,17.300.970,,17300970.0
Các bên khác,Trong đó: > Các bên khác,Các bên khác,1.963.190.834,1.909.963.111,1963190834.0,1909963111.0
