row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu tiền thanh lý khoản đầu tư,Phải thu tiền thanh lý khoản đầu tư,Phải thu tiền thanh lý khoản đầu tư,275.065.000,-,275065000.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty TNHH Thủy điện Hoàng Anh Gia Lai,Trong đó: > - Công ty TNHH Thủy điện Hoàng Anh Gia Lai,- Công ty TNHH Thủy điện Hoàng Anh Gia Lai,249.045.000,-,249045000.0,
- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Trong đó: > - Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,26.020.000,-,26020000.0,
Phải thu về bán hàng và cung cấp dịch vụ,Trong đó: > Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,76.717.582,47.677.813,76717582.0,47677813.0
Phải thu từ dịch vụ xây dựng,Trong đó: > Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,34.140.817,34.415.390,34140817.0,34415390.0
Phải thu tiền thanh lý tài sản cố định,Trong đó: > Phải thu tiền thanh lý tài sản cố định,Phải thu tiền thanh lý tài sản cố định,26.323.777,60.258.805,26323777.0,60258805.0
Phải thu tiền bán căn hộ,Trong đó: > Phải thu tiền bán căn hộ,Phải thu tiền bán căn hộ,3.806.685,5.710.920,3806685.0,5710920.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,416.053.861,148.062.928,416053861.0,148062928.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên liên quan(Thuyết minh “TM” số 28.2),Trong đó: > Phải thu các bên liên quan(Thuyết minh “TM” số 28.2),Phải thu các bên liên quan(Thuyết minh “TM” số 28.2),128.115.946,138.649.839,128115946.0,138649839.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,287.937.915,9.413.089,287937915.0,9413089.0
