row_label_raw,row_label_full,Các bên liên quan,Các bên liên quan_1,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Các bên liên quan_1,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Lãi cho vay,486.106.860,146.857.511,,,486106860.0,146857511.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Lãi cho vay,230.927.298,29.098.785,,,230927298.0,29098785.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Lãi cho vay,17.654.077,6.520.743,,,17654077.0,6520743.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Lãi cho vay,-,43.040.917,,,,43040917.0
Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Lãi cho vay,-,32.468.560,,,,32468560.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Lãi cho vay,-,26.861.748,,,,26861748.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Lãi cho vay,-,26.168.409,,,,26168409.0
Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Lãi cho vay,-,17.975.000,,,,17975000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,734.688.235,328.991.673,,,734688235.0,328991673.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,,,,
Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),,,,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 15) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,22.887.524,-,,,22887524.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả người bán ngắn hạn (TM số 15) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Mua hàng hóa,2.295.863,-,,,2295863.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải trả người bán ngắn hạn (TM số 15) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Mua hàng hóa,1.950.572,-,,,1950572.0,
Các công ty khác,Phải trả người bán ngắn hạn (TM số 15) > Các công ty khác,Các công ty khác,Bên liên quan,Mua hàng hóa,850.180,476.058,,,850180.0,476058.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 15) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,27.984.139,476.058,,,27984139.0,476058.0
