row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn các bên liên quan (TM số 28.2) (i),Ngắn hạn > Cho vay ngắn hạn các bên liên quan (TM số 28.2) (i),Cho vay ngắn hạn các bên liên quan (TM số 28.2) (i),3.930.680.511,1.667.079.652,3930680511.0,1667079652.0
Cho vay ngắn hạn các bên khác (ii),Ngắn hạn > Cho vay ngắn hạn các bên khác (ii),Cho vay ngắn hạn các bên khác (ii),156.895.363,18.177.885,156895363.0,18177885.0
,,,4.087.575.874,1.685.257.537,4087575874.0,1685257537.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn các bên liên quan (TM số 28.2) (i),Dài hạn > Cho vay dài hạn các bên liên quan (TM số 28.2) (i),Cho vay dài hạn các bên liên quan (TM số 28.2) (i),8.777.568.963,10.122.511.765,8777568963.0,10122511765.0
Cho vay dài hạn các bên khác (ii),Dài hạn > Cho vay dài hạn các bên khác (ii),Cho vay dài hạn các bên khác (ii),43.380.907,42.880.908,43380907.0,42880908.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),17.305.360,15.020.312,17305360.0,15020312.0
,,,8.838.255.230,10.180.412.985,8838255230.0,10180412985.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,12.925.831.104,11.865.670.522,12925831104.0,11865670522.0
