row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các cá nhân và các công ty (i),Ngắn hạn > Phải trả tiền mượn từ các cá nhân và các công ty (i),Phải trả tiền mượn từ các cá nhân và các công ty (i),80.347.526,905.278.933,80347526.0,905278933.0
Phải trả do thu hộ,Ngắn hạn > Phải trả do thu hộ,Phải trả do thu hộ,49.757.784,72.853.000,49757784.0,72853000.0
"Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)","Ngắn hạn > Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)","Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)",36.000.000,-,36000000.0,
Lợi nhuận hợp tác kinh doanh phải trả (iii),Ngắn hạn > Lợi nhuận hợp tác kinh doanh phải trả (iii),Lợi nhuận hợp tác kinh doanh phải trả (iii),17.989.667,-,17989667.0,
Phí bảo trì căn hộ,Ngắn hạn > Phí bảo trì căn hộ,Phí bảo trì căn hộ,-,9.573.496,,9573496.0
Khác,Ngắn hạn > Khác,Khác,4.210.121,15.016.401,4210121.0,15016401.0
,,,188.305.098,1.002.721.830,188305098.0,1002721830.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (TM số 28.2),Trong đó: > Phải trả các bên liên quan (TM số 28.2),Phải trả các bên liên quan (TM số 28.2),123.209.705,899.390.923,123209705.0,899390923.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,65.095.393,103.330.907,65095393.0,103330907.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)","Dài hạn > Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)","Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)",285.000.000,285.000.000,285000000.0,285000000.0
Phải trả do thu hộ,Dài hạn > Phải trả do thu hộ,Phải trả do thu hộ,7.666.626,220.075.796,7666626.0,220075796.0
Phải trả tiền mượn từ các công ty,Dài hạn > Phải trả tiền mượn từ các công ty,Phải trả tiền mượn từ các công ty,-,65.000.000,,65000000.0
,,,292.666.626,570.075.796,292666626.0,570075796.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (TM số 28.2),Trong đó: > Phải trả các bên liên quan (TM số 28.2),Phải trả các bên liên quan (TM số 28.2),285.000.000,570.075.796,285000000.0,570075796.0
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,7.666.626,-,7666626.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,480.971.724,1.572.797.626,480971724.0,1572797626.0
