row_label_raw,row_label_full,Số đầu năm > Cộng: Tăng dự phòng lập trong năm > Số cuối năm,Năm nay > - > 310.525.314,Ngàn VNDNăm trước > -,numeric__Năm nay > - > 310.525.314,numeric__Ngàn VNDNăm trước > -
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,34.759.378,-,34759378.0,
Dự phòng phải thu dài hạn khó đòi,Trong đó: > Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,275.765.936,-,275765936.0,
