row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,27.072.022,15.001.180,42.073.202,27072022.0,15001180.0,42073202.0
Kết chuyển từ hàng tồn kho trong năm,Nguyên giá > Kết chuyển từ hàng tồn kho trong năm,Kết chuyển từ hàng tồn kho trong năm,-,32.002.629,32.002.629,,32002629.0,32002629.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,27.072.022,47.003.809,74.075.831,27072022.0,47003809.0,74075831.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(2.218.183),(2.750.216),(4.968.399),-2218183.0,-2750216.0,-4968399.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(739.394),(500.039),(1.239.433),-739394.0,-500039.0,-1239433.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(2.957.577),(3.250.255),(6.207.832),-2957577.0,-3250255.0,-6207832.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,24.853.839,12.250.964,37.104.803,24853839.0,12250964.0,37104803.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,24.114.445,43.753.554,67.867.999,24114445.0,43753554.0,67867999.0
Trong đó:Thế chấp/cầm cố để đảm bảo cho các khoản vay của Công ty và công ty con,Giá trị còn lại > Trong đó:Thế chấp/cầm cố để đảm bảo cho các khoản vay của Công ty và công ty con,Trong đó:Thế chấp/cầm cố để đảm bảo cho các khoản vay của Công ty và công ty con,24.114.445,43.753.554,67.867.999,24114445.0,43753554.0,67867999.0
