row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
Nhóm nợ tồn động lớn (*),Phải thu ngắn hạn khác (TM số 8) > Nhóm nợ tồn động lớn (*),Nhóm nợ tồn động lớn (*),Các công ty liên quan,(*),55.615.684,227.225.509,,,55615684.0,227225509.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Chi trả hộ Lãi cho vay,535.273.729-,390.908.1384.764.824,,,,3909081384764824.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Chi trả hộ,107.926.999,35.863.667,,,107926999.0,35863667.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,Lãi cho vay Chi trả hộ,99.469.1835.151.875,99.469.183845.021,,,994691835151875.0,99469183845021.0
Ông Đoàn Nguyên Đức,Phải thu ngắn hạn khác (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Cho mượn Khác,65.612.44323.261,-,,,6561244323261.0,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Lãi cho vay Chi trả hộ,27.165.722-,5.408.92522.020.585,,,,540892522020585.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vay,16.049.756,5.893.816,,,16049756.0,5893816.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Cổ tức,-,242.001.200,,,,242001200.0
Công ty TNHH Điện Hoàng Anh Attapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con trước đây,Chi trả hộ,-,39.770.165,,,,39770165.0
Công ty TNHH Khoáng sản Hoàng Anh Xẻ kông,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Khoáng sản Hoàng Anh Xẻ kông,Công ty TNHH Khoáng sản Hoàng Anh Xẻ kông,Công ty con trước đây,Chi trả hộ,-,3.722.605,,,,3722605.0
Công ty TNHH MTV Xây lắp Điện,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Xây lắp Điện,Công ty TNHH MTV Xây lắp Điện,Công ty liên quan,Chi trả hộ,-,1.177.000,,,,1177000.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty liên kết trước đây,Lãi cho vay,-,891.591,,,,891591.0
Các bên khác,Phải thu ngắn hạn khác (TM số 8) > Các bên khác,Các bên khác,Bên liên quan,Khác,1.882.532,2.089.969,,,1882532.0,2089969.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,914.171.184,1.082.052.198,,,914171184.0,1082052198.0
