row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,5.728.839.392,4.365.255.572,5728839392.0,4365255572.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,4.315.618.872,1.556.446.096,4315618872.0,1556446096.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,220.176.467,219.468.434,220176467.0,219468434.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,27.595.944,219.817.820,27595944.0,219817820.0
Công ty TNHH Thương mại Dịch vụ Minh Tuân,Công ty TNHH Thương mại Dịch vụ Minh Tuân,Công ty TNHH Thương mại Dịch vụ Minh Tuân,5.501.714,5.501.714,5501714.0,5501714.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,-,341.668.291,,341668291.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,-,229.216.928,,229216928.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,-,124.235.470,,124235470.0
Công ty Cổ phần Thương mại Dịch vụ Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ Xây dựng Phúc Bảo Minh,-,67.975.000,,67975000.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,-,61.576.500,,61576500.0
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,-,12.624.059,,12624059.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.297.732.389,7.203.785.884,10297732389.0,7203785884.0
