row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,86.517.785(108.070.025),12.904.264.702(108.070.025),9274679470.0,3263858784.0,-686640.0,279895303.0,,
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,86.517.785(108.070.025),12.904.264.702(108.070.025),,,,,,
"Trích thủ lao Hội đồng Quản trị, Ban Kiểm soát và Thư ký","Lỗ thuần trong năm > Trích thủ lao Hội đồng Quản trị, Ban Kiểm soát và Thư ký","Trích thủ lao Hội đồng Quản trị, Ban Kiểm soát và Thư ký",-,-,-,-,(927.000),(927.000),,,,,-927000.0,-927000.0
Số cuối năm,Lỗ thuần trong năm > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(22.479.240),12.795.267.677,9274679470.0,3263858784.0,-686640.0,279895303.0,-22479240.0,12795267677.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(22.479.240)(713.495.700),12.795.267.677(713.495.700),9274679470.0,3263858784.0,-686640.0,279895303.0,,
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(22.479.240)(713.495.700),12.795.267.677(713.495.700),,,,,,
"Trích thủ lao Hội đồng Quản trị, Ban Kiểm soát và Thư ký","Lỗ thuần trong năm > Trích thủ lao Hội đồng Quản trị, Ban Kiểm soát và Thư ký","Trích thủ lao Hội đồng Quản trị, Ban Kiểm soát và Thư ký",-,-,-,-,(1.236.000),(1.236.000),,,,,-1236000.0,-1236000.0
Số cuối năm,Lỗ thuần trong năm > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(737.210.940),12.080.535.977,9274679470.0,3263858784.0,-686640.0,279895303.0,-737210940.0,12080535977.0
