row_label_raw,row_label_full,"Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (""BIDV"")",Số cuối năm > 249.631.125,Ngân VND Số đầu năm > 553.056.660,numeric__Số cuối năm > 249.631.125,numeric__Ngân VND Số đầu năm > 553.056.660
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HD Bank"")","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HD Bank"")","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HD Bank"")",77.000.000,299.706.457,77000000.0,299706457.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,326.631.125,852.763.117,326631125.0,852763117.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,326.631.125,775.763.117,326631125.0,775763117.0
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,-,77.000.000,,77000000.0
