row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Ngàn VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay dài hạn ngân hàng đến hạn trả (TM số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (TM số 20.1),Vay dài hạn ngân hàng đến hạn trả (TM số 20.1),775.763.117,77.000.000,(526.131.992),326.631.125,775763117.0,77000000.0,-526131992.0,326631125.0
Trái phiếu thường đến hạn trả (TM số 20.2),Vay ngắn hạn > Trái phiếu thường đến hạn trả (TM số 20.2),Trái phiếu thường đến hạn trả (TM số 20.2),429.095.758,278.857.850,(587.953.608),120.000.000,429095758.0,278857850.0,-587953608.0,120000000.0
Vay ngắn hạn bên liên quan,Vay ngắn hạn > Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,612.995.000,-,(612.995.000),-,612995000.0,,-612995000.0,
,,,1.817.853.875,355.857.850,(1.727.080.600),446.631.125,1817853875.0,355857850.0,-1727080600.0,446631125.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Trái phiếu thường (TM số 20.2),Vay dài hạn > Trái phiếu thường (TM số 20.2),Trái phiếu thường (TM số 20.2),8.516.093.277,9.704.470,(1.481.110.586),7.044.687.161,8516093277.0,9704470.0,-1481110586.0,7044687161.0
Vay dài hạn ngân hàng (TM số 20.1),Vay dài hạn > Vay dài hạn ngân hàng (TM số 20.1),Vay dài hạn ngân hàng (TM số 20.1),77.000.000,-,(77.000.000),-,77000000.0,,-77000000.0,
Vay dài hạn bên liên quan,Vay dài hạn > Vay dài hạn bên liên quan,Vay dài hạn bên liên quan,298.820.736,-,(298.820.736),-,298820736.0,,-298820736.0,
,,,8.891.914.013,9.704.470,(1.856.931.322),7.044.687.161,8891914013.0,9704470.0,-1856931322.0,7044687161.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,10.709.767.888,365.562.320,(3.584.011.922),7.491.318.286,10709767888.0,365562320.0,-3584011922.0,7491318286.0
