row_label_raw,row_label_full,Số đầu năm > Cộng: Tăng dự phòng lập trong năm > Số cuối năm,Năm nay > - > 115.292.460,Ngàn VNDNăm trước > -,numeric__Năm nay > - > 115.292.460,numeric__Ngàn VNDNăm trước > -
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,114.177.600,-,114177600.0,
Dự phòng phải thu dài hạn khó đòi,Trong đó: > Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,1.114.860,-,1114860.0,
