row_label_raw,row_label_full,Các bên liên quan,Các bên liên quan_1,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Các bên liên quan_1,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Lãi cho vayChi trả hộ,19.711.03110.576.290,19.847.708-,,,1971103110576290.0,
Công ty Cổ phần Gỗ Hoàng AnhGia Lai,Công ty Cổ phần Gỗ Hoàng AnhGia Lai,Công ty Cổ phần Gỗ Hoàng AnhGia Lai,Công ty Cổ phần Gỗ Hoàng AnhGia Lai,Lãi cho vayChi trả hộ,12.780.5382.192.000,1.682.1122.192.000,,,127805382192000.0,16821122192000.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Lãi cho vay,10.355.825,-,,,10355825.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Lãi cho vayChi trả hộ,-,157.007.7222.619.183,,,,1570077222619183.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Lãi cho vay,-,31.235.470,,,,31235470.0
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Chi trả hộ,-,12.624.059,,,,12624059.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Lãi cho vay,-,17.255,,,,17255.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,55.615.684,227.225.509,,,55615684.0,227225509.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,,,,
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,,
Nhóm nợ tồn động lớn (*),Phải thu dài hạn khác (TM số 8) > Nhóm nợ tồn động lớn (*),Nhóm nợ tồn động lớn (*),Các công ty liên quan,(*),734.688.235,328.991.673,,,734688235.0,328991673.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vay,154.362.922,69.354.893,,,154362922.0,69354893.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu dài hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Lãi cho vay,11.089.045,-,,,11089045.0,
Công ty Cổ phần An Đông Mia,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Lãi cho vay,-,39.610.145,,,,39610145.0
Công ty TNHH V&H Corporation (Lào),Phải thu dài hạn khác (TM số 8) > Công ty TNHH V&H Corporation (Lào),Công ty TNHH V&H Corporation (Lào),Công ty con trước đây,Chi trả hộ,-,5.807.788,,,,5807788.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Lãi cho vayChi trả hộ,-,91.531.25956.912.526,,,,9153125956912526.0
Các công ty khác,Phải thu dài hạn khác (TM số 8) > Các công ty khác,Các công ty khác,Bên liên quan,Khác,861.256,2.346.066,,,861256.0,2346066.0
TỔNG CỘNG,Phải thu dài hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,901.001.458,594.554.350,,,901001458.0,594554350.0
