row_label_raw,row_label_full,Các bên liên quan,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,"9,75 - 12,00",4.127.769.426,3.884.249.304,,4127769426.0,3884249304.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,"11,50",3.216.487.778,1.527.347.312,11.5,3216487778.0,1527347312.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,"12,00",100.000.000,100.000.000,12.0,100000000.0,100000000.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,-,-,196.731.113,,,196731113.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,-,-,155.872.977,,,155872977.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,-,-,147.000.000,,,147000000.0
Công ty Cổ phần Thương mại Xây dựng Dịch vụ Phúc Bảo Minh,Công ty Cổ phần Thương mại Xây dựng Dịch vụ Phúc Bảo Minh,Công ty Cổ phần Thương mại Xây dựng Dịch vụ Phúc Bảo Minh,-,-,50.000.000,,,50000000.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,-,-,34.714.752,,,34714752.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,7.444.257.204,6.095.915.458,,7444257204.0,6095915458.0
