row_label_raw,row_label_full,col_0,Code Note,Code Note_1,31/12/2023VND,1/1/2023VND,numeric__Code Note,numeric__Code Note_1,numeric__31/12/2023VND,numeric__1/1/2023VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"24,115,296,003,502","23,225,562,528,592",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"3,197,402,607,546","2,924,304,281,432",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"329,804,607,546","181,904,281,432",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"2,867,598,000,000","2,742,400,000,000",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"16,730,000,000,000","18,127,450,000,000",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,6(a),"16,730,000,000,000","18,127,450,000,000",123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"3,011,383,696,374","1,363,384,214,889",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,7,"1,672,553,205,928","768,163,629,107",131.0,7.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"21,200,293,397","32,496,219,822",132.0,,,
Loans receivable – short-term,ASSETS > Loans receivable – short-term,Loans receivable – short-term,135,8,"437,475,682,192",-,135.0,8.0,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,9(a),"1,157,385,248,400","839,955,099,503",136.0,,,
Allowance for doubtful debts,ASSETS > Allowance for doubtful debts,Allowance for doubtful debts,137,10(a),"(277,230,733,543)","(277,230,733,543)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,11(a),"1,016,173,991,242","614,003,265,077",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"1,038,325,359,355","638,862,258,889",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(22,151,368,113)","(24,858,993,812)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"160,335,708,340","196,420,767,194",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,12(a),"125,826,272,256","120,103,413,490",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"22,319,076,524","55,744,504,730",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,19(b),"12,190,359,560","20,572,848,974",153.0,,,
