row_label_raw,row_label_full,col_0,Year of maturity,31/12/2023 VND,1/1/2023 VND,numeric__Year of maturity,numeric__31/12/2023 VND,numeric__1/1/2023 VND
Subsidiary,Subsidiary,Subsidiary,Subsidiary,Subsidiary,Subsidiary,,,
Chuong Duong Beverages Joint Stock Company,Subsidiary > Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,2024,"437,475,682,192","50,000,000,000",2024.0,,
In which:,In which:,In which:,In which:,In which:,In which:,,,
Loans receivable – short-term,Loans receivable – short-term,Loans receivable – short-term,,"437,475,682,192",-,,,
Loans receivable – long-term,Loans receivable – long-term,Loans receivable – long-term,,-,"50,000,000,000",,,
