row_label_raw,row_label_full,col_0,Quyền sử dụngđất chờ bàn giao(*)VND,Bao bìluân chuyểnVND,Công cụ vàdụng cụ vàcác chỉ phí khácVND,TổngVND,numeric__Quyền sử dụngđất chờ bàn giao(*)VND,numeric__Bao bìluân chuyểnVND,numeric__Công cụ vàdụng cụ vàcác chỉ phí khácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.602.316.000,7.156.435.850,6.010.932.920,64.769.684.770,51602316000.0,7156435850.0,6010932920.0,64769684770.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,5.021.301.250,5.021.301.250,,,5021301250.0,5021301250.0
Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,-,6.364.389.575,6.364.389.575,,,6364389575.0,6364389575.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,-,(5.564.954.037),(4.900.519.802),(10.465.473.839),,-5564954037.0,-4900519802.0,-10465473839.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.602.316.000,1.591.481.813,12.496.103.943,65.689.901.756,51602316000.0,1591481813.0,12496103943.0,65689901756.0
