row_label_raw,row_label_full,col_0,Code Note,Code Note_1,2023 VND,2022 VND,numeric__Code Note,numeric__Code Note_1,numeric__2023 VND,numeric__2022 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,29,"37,739,184,263,128","41,813,139,058,076",1.0,29.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,29,-,"22,320,718,601",2.0,29.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,29,"37,739,184,263,128","41,790,818,339,475",10.0,29.0,,
Cost of goods sold and services provided,Cost of goods sold and services provided,Cost of goods sold and services provided,11,30,"32,127,500,715,007","35,158,185,011,372",11.0,30.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"5,611,683,548,121","6,632,633,328,103",20.0,,,
Financial income,Financial income,Financial income,21,31,"3,560,612,649,786","3,049,588,425,447",21.0,31.0,,
Financial expenses,Financial expenses,Financial expenses,22,32,"69,112,595,833","69,375,202,181",22.0,32.0,,
Selling expenses,Selling expenses,Selling expenses,25,33,"3,833,568,260,824","4,038,486,338,919",25.0,33.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,34,"411,535,811,152","347,706,978,997",26.0,34.0,,
Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},30,,"4,858,079,530,098","5,226,653,233,453",30.0,,,
Other income,Other income,Other income,31,,"4,669,151,935","1,385,783,906",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"16,870,685,102","8,143,366,231",32.0,,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"(12,201,533,167)","(6,757,582,325)",40.0,,,
Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),50,,"4,845,877,996,931","5,219,895,651,128",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,36,"548,226,704,070","680,488,477,453",51.0,36.0,,
Income tax expense/(benefit) – deferred,Income tax expense/(benefit) – deferred,Income tax expense/(benefit) – deferred,52,36,"10,040,694,460","(20,249,650,982)",52.0,36.0,,
Net profit after tax(60 = 50 - 51 - 52),Net profit after tax(60 = 50 - 51 - 52),Net profit after tax(60 = 50 - 51 - 52),60,,"4,287,610,598,401","4,559,656,824,657",60.0,,,
