row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2023VND,2022VND,,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"344,316,337,598","476,491,444,503",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,072,976,287,260","1,417,094,941,070",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"867,825,179",-,,
Dividends received,Dividends received,Dividends received,"43,278,133,500","33,660,770,500",,
Other transactions,Other transactions,Other transactions,"180,821,536","308,647,843",,
Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"164,603,225,959","272,880,860,232",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"488,674,820,020","656,439,445,070",,
Dividends received,Dividends received,Dividends received,"1,689,375,000","5,068,125,000",,
Other transactions,Other transactions,Other transactions,"135,876,714","95,461,677",,
Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"342,787,576,481","419,428,503,067",,
Provision of services,Provision of services,Provision of services,-,"3,201,716,196",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"849,780,900,170","1,097,108,428,970",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"11,988,307",-,,
Dividends received,Dividends received,Dividends received,"4,500,000,000","7,500,000,000",,
Other transactions,Other transactions,Other transactions,"110,277,456","9,049,697",,
Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"329,922,251,844","416,746,033,180",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"915,125,207,400","1,169,420,458,490",,
Dividends received,Dividends received,Dividends received,"1,000,000,000","3,000,000,000",,
Other transactions,Other transactions,Other transactions,"190,248,984","58,334,574",,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"662,170,097,085","715,673,570,927",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,756,634,387,300","1,886,988,653,950",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"37,518,000",-,,
Dividends received,Dividends received,Dividends received,"7,186,150,000","7,186,150,000",,
Other transactions,Other transactions,Other transactions,"307,722,507",-,,
Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"2,179,224,235,814","2,636,683,964,817",,
Other transactions,Purchases of packaging materials > Other transactions,Other transactions,"5,772,116,931","259,840",,259.84
Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,,
Dividends received,Dividends received,Dividends received,"18,279,859,500",-,,
