row_label_raw,row_label_full,col_0,Land use rights awaiting transfer (*) VND,Returnable packaging VND,Tools and instruments and others VND,Total VND,numeric__Land use rights awaiting transfer (*) VND,numeric__Returnable packaging VND,numeric__Tools and instruments and others VND,numeric__Total VND
Opening balance,Opening balance,Opening balance,"51,602,316,000","7,156,435,850","6,010,932,920","64,769,684,770",,,,
Additions,Additions,Additions,-,-,"5,021,301,250","5,021,301,250",,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,-,-,"6,364,389,575","6,364,389,575",,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,-,"(5,564,954,037)","(4,900,519,802)","(10,465,473,839)",,,,
Closing balance,Closing balance,Closing balance,"51,602,316,000","1,591,481,813","12,496,103,943","65,689,901,756",,,,
