row_label_raw,row_label_full,col_0,Code,Note,31/12/2023 VND,1/1/2023 VND,numeric__Code,numeric__Note,numeric__31/12/2023 VND,numeric__1/1/2023 VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"7,935,170,566,006","8,372,592,055,264",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"7,848,003,546,758","8,286,932,318,237",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,18,"4,307,947,329,896","4,296,905,191,970",311.0,18.0,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"19,964,720,060","10,348,280,028",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,19(a),"426,737,847,446","437,196,214,759",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"46,928,695,916","50,301,074,143",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,20,"278,194,173,198","333,327,470,676",315.0,20.0,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,21(a),"2,714,875,683,208","3,080,520,761,409",319.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,22,"53,355,097,034","78,333,325,252",322.0,22.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"87,167,019,248","85,659,737,027",330.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,21(b),"53,247,542,136","51,602,316,000",337.0,,,
Provisions – long-term,RESOURCES > Provisions – long-term,Provisions – long-term,342,23,"33,919,477,112","34,057,421,027",342.0,23.0,,
EQUITY (400 = 410),RESOURCES > EQUITY (400 = 410),EQUITY (400 = 410),400,,"21,593,626,852,752","20,246,947,402,325",400.0,,,
Owners' equity,RESOURCES > Owners' equity,Owners' equity,410,24,"21,593,626,852,752","20,246,947,402,325",410.0,24.0,,
Share capital,RESOURCES > Share capital,Share capital,411,25,"12,825,623,720,000","6,412,811,860,000",411.0,25.0,,
Ordinary shares with voting rights,Ordinary shares with voting rights,Ordinary shares with voting rights,411a,,"12,825,623,720,000","6,412,811,860,000",,,,
Investment and development fund,Ordinary shares with voting rights > Investment and development fund,Investment and development fund,418,26,"760,819,802,040","760,819,802,040",418.0,26.0,,
Retained profits,Ordinary shares with voting rights > Retained profits,Retained profits,421,,"8,007,183,330,712","13,073,315,740,285",421.0,,,
Retained profits brought forward,Retained profits brought forward,Retained profits brought forward,421a,,"3,775,246,732,311","8,586,457,881,240",,,,
Retained profit for the current year,Retained profit for the current year,Retained profit for the current year,421b,,"4,231,936,598,401","4,486,857,859,045",,,,
TOTAL RESOURCES(440 = 300 + 400),Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"29,528,797,418,758","28,619,539,457,589",440.0,,,
